Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry,Secondary Industry
Russia,Dmitry Rybolovlev,9,100,45,Chemicals,Fertilizer
Russia,Vyacheslav Kantor,2.3,546,58,Chemicals,Real Estate
Russia,Dmitry Mazepin,1.7,764,43,Chemicals,
Russia,Zelimkhan Mutsoev,1.5,854,52,Chemicals,Real Estate
Russia,Anatoly Lomakin,1.2,1015,59,Chemicals,Fertilizer
Russia,Pyotr Kondrashev,1.2,1015,62,Chemicals,Fertilizer
England,James Ratcliffe,2.4,521,59,Chemicals,
USA,Anita Zucker,1.8,719,60,Chemicals,
USA,Alexander Rovt,1.2,1015,59,Chemicals,fertilizer
USA,William Wrigley Jr,2.2,578,48,Food & Drinks,chewing gum
USA,S. Truett Cathy,1.3,960,91,Food & Drinks,Fast Food
Australia,Ivan Glasenberg,7.3,125,55,Commodities,
India,Kumar Birla,8,116,44,Commodities,
England,Richard Elman & family,2.1,601,72,Commodities,
India,Gautam Adani,5.4,189,49,Commodities,
England,Mohammed Ibrahim,1.1,1075,65,Telacom,
Taiwan,Barry Lam,3.7,296,62,Computers,
USA,Laurene Powell Jobs & family,9,100,48,Computers,Entertaiment
Ukraine,Petro Poroshenko,1,1153,46,confectionery,
China,Liu Canglong,1,1153,57,Construction,
Australia,Leonard Buckeridge,1.25,1014,76,Construction,
Egypt,Nassef Sawiris,5.1,199,51,Construction,
India,Benu Gopal Bangur,1.1,1075,80,Construction,Cement
Ireland,Pallonji Mistry,9.7,96,82,Construction,
Netherlands,Ralph Sonnenberg,1.4,913,77,Construction,Blinds
Russia,Ziyad Manasir,2.1,601,46,Construction,
Russia,Mikhail Balakin,1.9,683,50,Construction,
Russia,Lev Kvetnoi,1.8,719,46,Construction,Airport
Russia,Elena Baturina,1.1,1075,49,Construction,
Spain,Alicia Koplowitz,2.1,601,57,Construction,
Spain,Esther Koplowitz,1.6,804,58,Construction,
Spain,Florentino Perez,1.6,804,65,Construction,
Switzerland,Thomas Schmidheiny,4.2,255,66,Construction,Cement
Turkey,Sarik Tara,2.3,546,81,Construction,
Turkey,Ali Ibrahim Agaoglu,2.1,601,58,Construction,
Turkey,Erman Ilicak,2,634,44,Construction,
Turkey,Mehmet Sinan Tara,1.1,1075,53,Construction,
USA,Alfred James Clark,1.8,719,84,Construction,
England,Anthony Bamford & family,2.2,578,66,Construction,Equipment
Russia,Filaret Galchev,4.4,242,48,Construction,Material
Russia,Andrei Molchanov,1.7,764,40,Construction,Material
Lebanon,Saad Hariri,1.7,764,41,Construction,Finance
Lebanon,Ayman Hariri,1.3,960,33,Construction,Finance
Lebanon,Fahd Hariri,1.3,960,31,Construction,Finance
France,Martin & Olivier Bouygues,3,377,0,"construction, media",
USA,Dennis Washington,5,205,77,"construction, mining",
Russia,Arkady Rotenberg,1,1153,60,"construction, pipes, banking",
Egypt,Onsi Sawiris,2.9,401,82,"construction, telecom",
USA,Walter Scott Jr,1.8,719,80,"construction, telecom",
Brazil,Joao Alves de Queiroz Filho,1.7,764,59,Consumer Goods,
Japan,Ryoichi Jinnai,1.4,913,85,"consumer lending, agriculture",
China,Hui Lin Chit,2.1,601,59,Consumer Goods,
China,Sze Man Bok,2.1,601,62,Consumer Goods,
USA,Leandro Rizzuto,1.8,719,73,Consumer Goods,
Portugal,Americo Amorim,4.4,242,77,"cork, investments",
Brazil,Antonio Luiz Seabra,2.9,401,69,Beauty Products,
Brazil,Guilherme Peirao Leal,1.6,804,61,Beauty Products,
Germany,Sylvia Stroher,1.9,683,57,Beauty Products,
South Korea,Suh Kyungn.a.Bae,1.5,854,49,Beauty Products,
Canada,Emanuele (Lino) Saputo,3.7,296,75,Food & Drinks,Dairy
USA,Jerry Jones,2,634,69,Sports,Football
USA,Michael Dell,15.9,41,47,Computers,Dell
Switzerland,Thomas Straumann,1,1153,48,dental implants,
Russia,Samvel Karapetyan,1.6,804,46,development,
England,Laurence Graff,2.6,464,73,Luxury,diamond jewelry
Israel,Lev Leviev,1.7,764,56,Luxury,diamond jewelry
South Africa,Nicky Oppenheimer & family,6.8,139,66,Luxury,
USA,Stanley Hubbard,2,634,78,Media,DirecTV
USA,Thomas Peterffy,5.4,189,67,Brokerage,
USA,Charles Schwab,3.5,314,74,Brokerage,
USA,Bruce Halle,4.2,255,81,Brokerage,
USA,Jeff Bezos,18.4,26,48,Distribution,Amazon.com
USA,Richard DeVos,5,205,86,Distribution,
USA,Martha Ingram & family,2.8,418,76,Distribution,Trasportation
Kuwait,Jassim Aln.a.Kharafi,1.2,1015,0,Diversified,
Brazil,Antonio Ermirio de Moraes & family,12.2,67,83,Diversified,
Canada,James & Arthur Irving,5,205,0,Diversified,
Canada,Jim Pattison,4.3,248,83,Diversified,
China,Lu Zhiqiang,3,377,59,Diversified,
China,Chen Fashu,2.7,442,51,Diversified,
China,Sun Guangxin,2.7,442,49,Diversified,
China,Lu Guanqiu,2.6,464,67,Diversified,
China,Guangchang Guo,2.4,521,45,Diversified,
China,Zhang Hongwei,1.9,683,57,Diversified,
China,Shi Yuzhu,1.8,719,49,Diversified,
China,Zhu Yicai,1.8,719,47,Diversified,
China,Song Zuowen,1.6,804,65,Diversified,
China,Zhou Furen,1.6,804,54,Diversified,
China,Zan Shengda,1.5,854,48,Diversified,
China,Wong Luen Hei,1.4,913,50,Diversified,
China,Larry Yung,1.1,1075,70,Diversified,
Egypt,Mohamed Mansour,1.7,764,64,Diversified,
Egypt,Yasseen Mansour,1.6,804,50,Diversified,
Egypt,Youssef Mansour,1.5,854,66,Diversified,
Germany,Albert von Thurn und Taxis,1.5,854,28,Diversified,
India,Anil Ambani,7.8,118,52,Diversified,
India,Shashi & Ravi Ruia,7,133,68,Diversified,
India,Adi Godrej & family,2.4,521,69,Diversified,
India,Jamshyd Godrej,2.4,521,63,Diversified,
India,Rishad Naoroji,2.4,521,60,Diversified,
India,Rajan Raheja & family,2.1,601,57,Diversified,
Indonesia,Sukanto Tanoto,2.8,418,62,Diversified,
Indonesia,Chairul Tanjung,2,634,49,Diversified,
Indonesia,Murdaya Poo,1.5,854,71,Diversified,
Indonesia,Tahir,1.3,960,60,Diversified,
Kuwait,Bassam Alghanim,1.6,804,60,Diversified,
Kuwait,Kutayba Alghanim,1.6,804,66,Diversified,
Kuwait,Fawzi Aln.a.Kharafi,1.2,1015,0,Diversified,
Kuwait,Mohannad Aln.a.Kharafi,1.2,1015,0,Diversified,
Malaysia,Robert Kuok,12.4,64,88,Diversified,
Malaysia,Quek Leng Chan,4.2,255,68,Diversified,
Malaysia,Syed Mokhtar AlBukhary,3.3,344,60,Diversified,
Malaysia,Yeoh Tiong Lay & family,2.6,464,82,Diversified,
Malaysia,Vincent Tan,1.2,1015,60,Diversified,
Philippines,Henry Sy & family,8,116,87,Diversified,
Philippines,Lucio Tan & family,3.5,314,77,Diversified,
Philippines,Andrew Tan,2.1,601,59,Diversified,
Philippines,Roberto Ongpin,1,1153,75,Diversified,
Saudi Arabia,Saleh Kamel,1.7,764,70,Diversified,
South Korea,Chey Taen.a.Won,2.1,601,51,Diversified,
South Korea,Lee Jayn.a.Hyun,1,1153,52,Diversified,
Sweden,Antonia Johnson,6.5,146,68,Diversified,
Taiwan,Douglas Hsu,1.3,960,69,Diversified,
Turkey,Semahat Sevim Arsel,2.6,464,83,Diversified,
Turkey,Mustafa Rahmi Koc,2.5,491,81,Diversified,
Turkey,Suna Kirac,2.2,578,70,Diversified,
Turkey,Ahmet Nazif Zorlu,1.4,913,67,Diversified,
Turkey,Bacaksiz Sezai,1.1,1075,62,Diversified,
Turkey,Nihat Ozdemir,1.1,1075,61,Diversified,
Turkey,Mehmet Hattat,1,1153,66,Diversified,
Turkey,Mustafa Vehbi Koc,1,1153,51,Diversified,
Turkey,Sevket Sabanci,1,1153,75,Diversified,
Turkey,Suzan Sabanci Dincer,1,1153,47,Diversified,
Turkey,Turgay Ciner,1,1153,56,Diversified,
United Arab Emirates,Saif Al Ghurair & family,2,634,0,Diversified,
USA,Charles Koch,25,12,76,Diversified,
USA,David Koch,25,12,71,Diversified,
USA,Len Blavatnik,11.9,72,54,Diversified,
USA,Joan Tisch,2.6,464,86,Diversified,
USA,Wilma Tisch,1.5,854,84,Diversified,
USA,Charles Munger,1,1153,88,Diversified,Insurance
USA,Ray Dolby,2.6,464,79,Dolby Laboratories,
USA,David Murdock,2.7,442,88,"Dole, Real Estate",
USA,Stewart Rahr,1.3,960,66,drug distribution,
Mexico,Joaquin Guzman Loera,1,1153,54,drug trafficking,
USA,Pierre Omidyar,6.7,141,44,Internet,Ebay
USA,Jeffrey Skoll,2.9,401,47,Internet,
USA,Meg Whitman,1.4,913,55,Internet,
USA,Charles Ergen,8.3,106,59,Manufacturing,Media
China,Yu Minhong,1.05,1152,50,Education,
Japan,Soichiro Fukutake,1.5,854,66,Education,
Sweden,Bertil Hult,3,377,71,Education,
USA,John Sperling,1.2,1015,91,Education,
USA,Peter Sperling,1.2,1015,52,Education,
Brazil,Antonio Jose Carneiro,1.1,1075,68,Energy,electricity distribution
China,Jiang Bin,1.6,804,45,Electronics,
China,Lin Xiucheng & family,1.1,1075,56,Electronics,
India,Venugopal Dhoot,1.3,960,60,Electronics,
Japan,Tetsuro Funai,1,1153,85,Electronics,
South Korea,Koo Bonn.a.Neung,1.1,1075,63,Electronics,
Taiwan,Terry Gou,5.5,184,61,Electronics,
Taiwan,Jason Chang,1.8,719,0,Electronics,
Taiwan,Michael Chiang,1.1,1075,59,Electronics,
Finland,Antti Herlin,2,634,55,Manufacturing,Elevators
Argentina,Carlos and Alejandro Bulgheroni,5.1,199,0,Energy,
Australia,Chris Wallin,1.3,960,0,Energy,Coal
China,Wang Yusuo & family,2.2,578,48,Energy,
Czech Republic,Zdenek Bakala,1.9,683,51,Energy,Coal
Indonesia,Low Tuck Kwong,3.6,304,63,Energy,Coal
Indonesia,Kiki Barki,1.7,764,72,Energy,Coal
Indonesia,Edwin Soeryadjaya,1.4,913,63,Energy,Coal
Indonesia,Garibaldi Thohir,1.2,1015,46,Energy,Coal
Indonesia,Theodore Rachmat,1.1,1075,68,Energy,Coal
Russia,Leonid Mikhelson,11.9,72,56,Energy,Gas
Russia,Andrey Melnichenko,10.8,81,40,Energy,Fertilizer
Russia,Oleg Deripaska,8.8,104,44,Energy,Utilities
Russia,Andrei Guriev,3.5,314,52,Energy,Fertilizer
Russia,Viktor Nusenkis,2.4,521,58,Energy,Coal
Russia,Vladimir Gridin & family,2,634,56,Energy,Transportation
Russia,Anatoly Skurov,1.8,719,59,Energy,Fertilizer
Russia,Igor Makarov,1.5,854,49,Energy,Gas
Russia,Mikhail Fedyaev,1,1153,49,Energy,transportation
Turkey,Ahmet Calik,1.3,960,54,Energy,Media
Turkey,Ali Metin Kazanci,1.3,960,77,Energy,
USA,Christopher Cline,1.5,854,54,Energy,Coal
USA,Robert McNair,1.5,854,75,Energy,Sports
USA,Joseph Craft III & family,1.4,913,61,Energy,Coal
USA,Manoj Bhargava,1.3,960,0,Energy,
USA,Jim Justice II,1.2,1015,60,Energy,Coal
USA,Aubrey McClendon,1.1,1075,52,Energy,natural gas
USA,William Moncrief Jr,1.1,1075,91,Energy,oil
Germany,Otto Happel,2.9,401,64,Engineering,
USA,Riley Bechtel,2.8,418,60,Engineering,Construction
USA,Stephen Bechtel Jr,2.8,418,86,Engineering,Construction
India,Gautam Thapar,1.4,913,51,Engineering,Manufacturing
USA,Jack Taylor & family,10.4,84,89,Automotive,Rental
USA,Sheldon Adelson,24.9,14,78,Entertaiment,Casino
USA,Kirk Kerkorian,3.3,344,94,Entertaiment,Finance
USA,Steve Wynn,2.5,491,70,Entertaiment,Leausure
USA,Phillip Ruffin,2.4,521,77,Entertaiment,Real Estate
Russia,Oleg Boyko,1.1,1075,47,Entertaiment,Real Estate
Canada,Guy Laliberte,2.6,464,52,Entertainment,
China,Chen Tianqiao,1.1,1075,39,Entertaiment,Real Estate
USA,Leonard Lauder,7.1,131,79,Beauty Products,Estee Lauder
USA,Ronald Lauder,3.4,330,68,Beauty Products,
Italy,Leonardo Del Vecchio,11.5,74,76,Manufacturing,eyewear
USA,Mark Zuckerberg,17.5,35,27,Internet,Facebook
USA,Dustin Moskovitz,3.5,314,27,Internet,Facebook
USA,Sean Parker,2.1,601,32,Internet,Facebook
USA,Eduardo Saverin,2,634,30,Internet,Facebook
Italy,Giorgio Armani,7.2,127,77,Fashion,
Italy,Carlo Benetton,2.1,601,68,Fashion,Diversified
Italy,Gilberto Benetton,2.1,601,70,Fashion,Diversified
Italy,Luciano Benetton,2.1,601,76,Fashion,Diversified
Italy,Giuliana Benetton,2.1,601,74,Fashion ,Diversified
Germany,Reinhold Wurth,5.2,196,76,High Tech,fasteners
USA,Frederick Smith,2.1,601,67,Distribution,
Germany,August von Finck,7.8,118,82,Finance,Investments
USA,Abigail Johnson,10.3,85,50,Finance,Investments
USA,Edward Johnson III,5.8,173,81,Finance,Investments
Australia,Kerr Neilson,2.1,601,62,Finance,
Australia,David Hains,2,634,81,Finance,
Australia,Michael Hintze,1.4,913,58,Finance,
Brazil,Lirio Parisotto,2.1,601,58,Finance,Investments
Canada,Paul Desmarais,4.3,248,85,Finance,
Canada,Eric Sprott,1.1,1075,67,Finance,Asset management
Canada,Gerald Schwartz,1,1153,70,Finance,
Chile,Sebastian Pinera,2.4,521,62,Finance,Investments
China,Lin Li,1.4,913,48,Finance,Investments
France,Vincent Bollore,1.6,804,59,Finance,Investments
France,Marc Ladreit de Lacharriere,1,1153,71,Finance,
Georgia,Bidzina Ivanishvili,6.4,153,56,Finance,Investments
India,Rakesh Jhunjhunwala,1.1,1075,51,Finance,investments
Ireland,Dermot Desmond,1.5,854,61,Finance,
New Zealand,Graeme Hart,5.7,178,56,Finance,Investments
New Zealand,Richard Chandler,4.6,230,53,Finance,Investments
New Zealand,Christopher Chandler,1,1153,52,Finance,Investments
Peru,Carlos Rodriguezn.a.Pastor,2,634,52,Finance,
Poland,Michal Solowow,1.8,719,49,Finance,Investments
Poland,Leszek Czarnecki,1.3,960,50,Finance,
Russia,Mikhail Prokhorov,13.2,58,46,Finance,Investments
Russia,Suleiman Kerimov,6.5,146,46,Finance,Investments
Russia,Leonid Simanovsky,1.2,1015,62,Finance,Investments
Russia,Megdet Rahimkulov,1.2,1015,66,Finance,Investments
Russia,Nikolai Maximov & family,1.2,1015,54,Finance,Investments
Russia,Alexander Lebedev,1.1,1075,52,Finance,Banking
Russia,Vladimir Gruzdev,1,1153,45,Finance,Investments
Saudi Arabia,Prince Alwaleed Bin Talal Alsaud,18,29,57,Finance,Investments
Saudi Arabia,Mohammed Al Issa,2.2,578,87,Finance,Investments
Singapore,Peter Lim,1.7,764,58,Finance,Investments
Spain,Juan Abello,2,634,70,Finance,Investments
Spain,Alberto Alcocer,1,1153,69,Finance,Investments
Spain,Alberto Cortina,1,1153,66,Finance,Investments
Sweden,Melker Schorling,3,377,64,Finance,Investments
Sweden,Thomas Sandell,1.1,1075,51,Finance,hedge funds
Switzerland,Stephan Schmidheiny,2.7,442,64,Finance,Investments
Taiwan,Tsai Wann.a.tsai & family,6.5,146,82,Finance,
Taiwan,T.Y. Tsai,2.2,578,0,Finance,
Turkey,Husnu Ozyegin,3,377,67,Finance,
England,David & Simon Reuben,9,100,69,Finance,Real Estate
England,Joe Lewis,3.8,290,75,Finance,Investment
England,Mark Coombs,2.4,521,51,Finance,
England,Alan Howard,2,634,48,Finance,Hedge Funds
England,David Harding,1.3,960,50,Finance,Finance
England,Peter Cruddas,1.3,960,58,Finance,Financial Services
England,Peter Hargreaves,1.3,960,65,Finance,Financial Services
USA,George Soros,20,22,81,Finance,hedge funds
USA,John Paulson,12.5,61,56,Finance,hedge funds
USA,James Simons,10.7,82,73,Finance,hedge funds
USA,Ray Dalio,10,88,62,Finance,hedge funds
USA,Harold Simmons,9,100,80,Finance,Investments
USA,Steve Cohen,8.3,106,56,Finance,hedge funds
USA,Philip Anschutz,7,133,72,Finance,Investments
USA,Eli Broad,6.3,157,78,Finance,Investments
USA,Stephen Schwarzman,5.5,184,65,Finance,Investments
USA,Ira Rennert,5.4,189,77,Finance,Investments
USA,David Tepper,5.1,199,54,Finance,hedge funds
USA,Robert Rowling,4.8,221,58,Finance,Investments
USA,Bruce Kovner,4.5,232,67,Finance,hedge funds
USA,Charles Johnson,4.5,232,79,Finance,Financial Services
USA,Daniel Ziff,4.2,255,40,Finance,Investments
USA,Dirk Ziff,4.2,255,47,Finance,Investments
USA,Robert Ziff,4.2,255,45,Finance,Investments
USA,Paul Tudor Jones II,3.4,330,57,Finance,hedge funds
USA,Edward Lampert,3.1,367,49,Finance,Investments
USA,David Shaw,3,377,60,Finance,hedge funds
USA,John Arnold,3,377,38,Finance,hedge funds
USA,Ken Griffin,3,377,43,Finance,hedge funds
USA,Warren Stephens,2.7,442,55,Finance,Investments
USA,Daniel Och,2.6,464,51,Finance,hedge funds
USA,Julian Robertson Jr,2.5,491,80,Finance,hedge funds
USA,Stanley Druckenmiller,2.5,491,58,Finance,hedge funds
USA,H. Wayne Huizenga,2.3,546,74,Finance,Investments
USA,Israel Englander,2.3,546,63,Finance,
USA,Michael Milken,2.3,546,65,Finance,Investments
USA,Nicolas Berggruen,2.3,546,50,Finance,Investments
USA,Peter Kellogg,2.3,546,69,Finance,Investments
USA,Bill Gross,2.2,578,67,Finance,Investments
USA,George Lindemann & family,2.2,578,76,Finance,Investments
USA,Henry Hillman,2.2,578,93,Finance,Investments
USA,Wilbur Ross Jr,2.2,578,74,Finance,Investments
USA,Leon G. Cooperman,2,634,68,Finance,hedge funds
USA,Thomas Kaplan,1.8,719,49,Finance,Investments
USA,Glenn Dubin,1.7,764,54,Finance,hedge funds
USA,Joseph Mansueto,1.7,764,55,Finance,Investments
USA,Clemmie Spangler Jr,1.6,804,79,Finance,Investments
USA,David Gottesman,1.6,804,85,Finance,Investments
USA,James Dinan,1.6,804,52,Finance,hedge funds
USA,Noam Gottesman,1.6,804,50,Finance,hedge funds
USA,Kenneth Langone,1.5,854,76,Finance,Investments
USA,Michael Price,1.5,854,59,Finance,Investments
USA,Stephen Mandel Jr,1.5,854,56,Finance,hedge funds
USA,Herbert Allen Jr & family,1.4,913,72,Finance,Banking 
USA,Louis Bacon,1.4,913,53,Finance,hedge funds
USA,Marc Lasry,1.3,960,51,Finance,hedge funds
USA,Richard Scaife,1.3,960,79,Finance,Banking 
USA,Thomas Steyer,1.3,960,54,Finance,hedge funds
USA,Vinod Khosla,1.3,960,57,Finance,hedge funds
USA,C. Dean Metropoulos,1.2,1015,65,Finance,investments
USA,Daniel Loeb,1.2,1015,50,Finance,Hedge Funds
USA,Henry Swieca,1.2,1015,54,Finance,Hedge Funds
USA,Mark Stevens,1.2,1015,52,Finance,venture capital
USA,David Einhorn,1.1,1075,43,Finance,Hedge Fund
USA,Jim Breyer,1.1,1075,50,Finance,Venture Capital
USA,Nelson Peltz,1.1,1075,69,Finance,investments
USA,Philip Falcone,1.1,1075,49,Finance,hedge funds
USA,Richard Chilton Jr,1.1,1075,53,Finance,hedge funds
USA,Thomas Bailey,1.1,1075,75,Finance,Finance
USA,Thomas Barrack,1.1,1075,64,Finance,Investment
USA,William Macaulay,1.1,1075,66,Finance,Investment
USA,Paul Singer,1,1153,67,Finance,hedge funds
USA,Peter Peterson,1,1153,85,Finance,Asset Management
USA,Robert Agostinelli,1,1153,58,Finance,private equity
USA,Chase Coleman,1.1,1075,36,Finance ,Hedge Fund
USA,Albert Ueltschi,1.9,683,94,Aviation,FlightSafety
USA,Charlotte Colket Weber,1.2,1015,69,Food & Drinks,Campbell Soup
Argentina,Gregorio Perez Companc,1.5,854,77,Food & Drinks,
Brazil,Jorge Paulo Lemann,12,69,72,Food & Drinks,Beer
Brazil,Marcel Herrmann Telles,5.7,178,62,Food & Drinks,Beer
Brazil,Carlos Alberto Sicupira,5.2,196,64,Food & Drinks,Beer
Brazil,Francisco Ivens de Sa Dias Branco,3.8,290,77,Food & Drinks,
China,Zong Qinghou,6.5,146,66,Food & Drinks,Beverage
China,Chanchai Ruayrungruang,1,1153,58,Food & Drinks,Beverages
Colombia,Alejandro Santo Domingo Davila,9.5,97,35,Food & Drinks,Beer
France,Pierre Bellon & family,3.4,330,82,Food & Drinks,
Germany,Michael Herz,4.5,232,68,Food & Drinks,coffee
Germany,Wolfgang Herz,4.5,232,61,Food & Drinks,coffee
Germany,Axel Oberwelland,2.5,491,45,Food & Drinks,candy
Germany,Gunter Herz,2.5,491,71,Food & Drinks,coffee
Germany,Thomas Bruch,2.4,521,61,Food & Drinks,food Retailing
Germany,Daniela Herz,2.3,546,58,Food & Drinks,coffee
Germany,Hans Riegel,2.3,546,89,Food & Drinks,candy
Germany,Ingeburg Herz,1.3,960,90,Food & Drinks,coffee
Ireland,John Dorrance III,2.4,521,68,Food & Drinks,Campbell Soup
Italy,Michele Ferrero & family,19,23,85,Food & Drinks,Choccolate
Netherlands,Charlene de Carvalhon.a.Heineken,7.7,120,57,Food & Drinks,Beer
Philippines,Eduardo Cojuangco,1.3,960,76,Food & Drinks,
Russia,Gavril Yushvaev,1.2,1015,54,Food & Drinks,
Taiwan,Tsai Engn.a.Meng,6.2,161,55,Food & Drinks,
Taiwan,Wei Ingn.a.Chou,1.7,764,59,Food & Drinks,
Taiwan,Wei Yingn.a.Chiao,1.7,764,57,Food & Drinks,
Taiwan,Wei Yinn.a.Chun,1.7,764,55,Food & Drinks,
Taiwan,Wei Yinn.a.Heng,1.7,764,53,Food & Drinks,
Thailand,Dhanin Chearavanont & family,7,133,72,Food & Drinks,
Thailand,Charoen Sirivadhanabhakdi,5.5,184,67,Food & Drinks,Drinks
Thailand,Chaleo Yoovidhya,5,205,80,Food & Drinks,Drinks
Turkey,Murat Ulker,2.8,418,52,Food & Drinks,
Turkey,Kamil Yazici,1.8,719,83,Food & Drinks,Diversified
Turkey,Mustafa Latif Topbas,1.4,913,68,Food & Drinks,
Turkey,Tuncay Ozilhan,1.4,913,64,Food & Drinks,Diversified
Turkey,Ahsen Ozokur,1.3,960,61,Food & Drinks,
USA,Forrest Mars Jr,13.8,52,80,Food & Drinks,candy
USA,Jacqueline Mars,13.8,52,72,Food & Drinks,candy
USA,John Mars,13.8,52,75,Food & Drinks,candy
USA,Donna MacMillan,3.3,344,79,Food & Drinks,Finance
