sort_order,rank,company,overall_score,change_from_2019,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,sector
31,31,JPMorgan Chase & Co.,69.4,down 1.7,4,4,5,4,5,Financial Services
32,31,Meta Platforms Inc.*,69.4,down 7.8,1,5,5,4,5,Technology
33,33,Eli Lilly & Co.,69.3,up 0.3,4,4,4,5,4,Health Care/Life Sciences
34,34,American Express Co.,69.2,up 5.9,3,4,5,4,4,Financial Services
35,34,Target Corp.,69.2,down 2.3,4,3,5,4,5,Retail/Wholesale
36,36,Verizon Communications Inc.,69.1,up 4.2,3,4,5,5,5,Telecommunication Services
37,37,Amgen Inc.,69,down 2.5,5,4,4,5,3,Health Care/Life Sciences
38,38,Colgate-Palmolive Co.,68.9,down 3.2,4,5,3,5,5,Consumer Goods
39,39,Whirlpool Corp.,68.8,up 2.5,3,4,5,5,4,Consumer Goods
40,40,eBay Inc.,68.7,up 3.4,3,4,5,4,4,Technology
41,40,Oracle Corp.,68.7,down 3.3,5,3,5,4,5,Technology
42,42,Coca-Cola Co.,68.5,down 0.4,4,3,5,4,4,Consumer Goods
43,43,Agilent Technologies Inc.,68.3,up 1.5,5,4,3,5,3,Industrial Goods
44,44,Caterpillar Inc.,68.2,down 2.7,5,3,5,4,3,Industrial Goods
45,45,Lam Research Corp.,68.1,up 4.5,4,4,3,4,5,Technology
46,46,Deere & Co.,67.7,down 1.2,4,3,5,4,4,Industrial Goods
47,47,Weyerhaeuser Co.,67.6,up 7.8,5,3,4,5,4,Real Estate/Construction
48,48,Applied Materials Inc.,67.5,up 3.1,4,4,4,4,5,Technology
49,48,Medtronic PLC,67.5,down 1.1,3,4,5,5,3,Health Care/Life Sciences
50,50,Allstate Corp.,67.4,up 2.1,4,2,5,4,5,Financial Services
51,51,Qualcomm Inc.,67.2,up 0.7,2,4,5,4,5,Technology
52,52,Dell Technologies Inc.,66.9,down 2.0,4,2,5,4,4,Technology
53,52,Home Depot Inc.,66.9,up 0.8,3,3,4,4,5,Retail/Wholesale
54,54,Owens Corning,66.8,up 4.8,5,4,3,5,3,Real Estate/Construction
55,55,Hewlett Packard Enterprise Co.,66.7,down 1.1,4,4,5,5,3,Technology
56,55,Raytheon Co.,66.7,down 0.1,4,3,5,4,2,Industrial Goods
57,57,Hershey Co.,66.5,up 1.4,5,4,3,5,4,Consumer Goods
58,57,Hilton Worldwide Holdings Inc.,66.5,up 3.8,5,4,4,5,2,Leisure/Arts/Hospitality
59,59,Clorox Co.,66.3,down 4.5,5,4,3,4,4,Consumer Goods
60,59,Walmart Inc.,66.3,down 4.3,3,2,5,3,5,Retail/Wholesale
61,61,Citigroup Inc.,66.2,up 5.9,3,3,5,5,4,Financial Services
62,61,Mastercard Inc.,66.2,down 4.3,3,5,3,4,5,Financial Services
63,63,Linde PLC,66,up 3.4,5,3,4,5,3,Basic Materials/Resources
64,63,Texas Instruments Inc.,66,down 1.4,3,5,3,5,5,Technology
65,65,General Mills Inc.,65.9,up 0.3,3,4,4,5,3,Consumer Goods
66,66,General Electric Co.,65.8,down 6.8,4,3,5,4,3,Business/Consumer Services
67,67,Estee Lauder Cos.,65.2,up 1.1,5,4,3,5,4,Consumer Goods
68,67,Johnson Controls International PLC,65.2,up 2.5,5,3,4,5,3,Business/Consumer Services
69,67,Nielsen Holdings PLC,65.2,up 5.7,4,3,5,4,2,Business/Consumer Services
70,70,Honeywell International Inc.,65.1,down 4.1,4,3,5,4,3,Business/Consumer Services
71,71,Altria Group Inc.,65,down 4.3,3,4,5,4,4,Consumer Goods
72,72,Jones Lang LaSalle Inc.,64.6,down 9.6,4,4,4,5,3,Real Estate/Construction
73,73,Humana Inc.,64.2,up 5.5,4,4,4,4,3,Financial Services
74,73,Kimberly-Clark Corp.,64.2,down 4.4,4,4,3,4,4,Consumer Goods
75,73,Rockwell Automation Inc.,64.2,down 0.8,4,4,3,4,4,Industrial Goods
76,76,International Flavors & Fragrances Inc.,64,up 2.1,5,3,4,5,2,Basic Materials/Resources
77,77,Intuit Inc.,63.9,down 4.3,3,5,4,4,4,Technology
78,77,Newmont Corp.,63.9,up 1.2,4,5,3,5,3,Basic Materials/Resources
79,79,Cummins Inc.,63.8,down 1.3,3,4,4,5,3,Automotive/Vehicles
80,79,Trane Technologies PLC,63.8,,4,4,3,5,3,Real Estate/Construction
81,79,VMware Inc.,63.8,down 4.7,4,5,3,4,3,Technology
82,82,Regeneron Pharmaceuticals Inc.,63.6,up 0.5,4,4,3,4,5,Health Care/Life Sciences
83,82,Starbucks Corp.,63.6,up 3.1,3,3,5,4,4,Leisure/Arts/Hospitality
84,84,Northrop Grumman Corp.,63.2,up 0.3,3,4,5,5,3,Industrial Goods
85,84,PayPal Holdings Inc.,63.2,up 0.9,3,4,4,4,4,Financial Services
86,86,Autodesk Inc.,63.1,down 0.5,3,5,3,5,4,Technology
87,87,TE Connectivity Ltd.,63,up 1.5,5,3,3,4,3,Industrial Goods
88,88,AbbVie Inc.,62.9,down 5.5,3,4,4,5,4,Health Care/Life Sciences
89,89,Mettler-Toledo International Inc.,62.6,down 1.4,5,3,3,4,5,Industrial Goods
90,90,Illumina Inc.,62.5,down 1.5,3,4,3,5,3,Health Care/Life Sciences
91,91,Campbell Soup Co.,62.3,up 1.6,4,4,3,5,3,Consumer Goods
92,91,Moody's Corp.,62.3,down 0.5,5,4,3,4,4,Financial Services
93,91,Workday Inc.,62.3,down 0.2,5,5,3,4,2,Technology
94,94,Biogen Inc.,62.2,up 0.2,4,5,3,5,3,Health Care/Life Sciences
95,95,Best Buy Co.,62.1,down 1.8,5,3,3,4,4,Retail/Wholesale
96,96,Morgan Stanley,62,up 1.8,4,4,3,4,4,Financial Services
97,96,United Parcel Service Inc.,62,up 0.7,3,3,4,4,4,Transportation/Logistics
98,98,Huntsman Corp.,61.8,up 5.6,5,4,3,4,3,Basic Materials/Resources
99,98,McCormick & Co.,61.8,up 2.9,4,4,3,4,3,Consumer Goods
100,100,Marriott International Inc.,61.7,up 3.0,4,3,4,4,3,Leisure/Arts/Hospitality
101,101,Keysight Technologies Inc.,61.6,up 1.8,5,4,3,4,3,Industrial Goods
102,101,T-Mobile US Inc.,61.6,up 1.9,3,4,4,4,4,Telecommunication Services
103,101,Xylem Inc.,61.6,up 2.9,4,3,3,5,3,Industrial Goods
104,104,Bank of America Corp.,61.4,down 3.6,3,4,4,5,4,Financial Services
105,105,Bristol-Myers Squibb Co.,61.3,down 1.9,3,5,4,4,2,Health Care/Life Sciences
106,106,Archer Daniels Midland Co.,61.2,up 1.8,5,4,3,4,3,Agriculture
107,106,Automatic Data Processing Inc.,61.2,down 8.6,4,4,3,4,4,Business/Consumer Services
108,106,Leidos Holdings Inc.,61.2,up 4.3,3,4,4,5,3,Business/Consumer Services
109,109,CBRE Group Inc.,61,down 2.2,3,4,3,5,4,Real Estate/Construction
110,109,Intuitive Surgical Inc.,61,down 3.3,3,5,4,3,4,Health Care/Life Sciences
111,111,DuPont Co.,60.9,down 1.3,4,3,5,3,2,Basic Materials/Resources
112,112,Dow Inc.,60.8,up 7.1,3,4,4,4,3,Basic Materials/Resources
113,113,Ball Corp.,60.7,up 2.7,4,4,3,5,3,Industrial Goods
114,113,Cadence Design Systems Inc.,60.7,down 0.7,4,4,3,3,4,Technology
115,115,AES Corp.,60.6,down 0.6,3,5,4,4,2,Utilities
116,115,Prologis Inc.,60.6,up 2.9,4,5,2,4,3,Real Estate/Construction
117,117,Danaher Corp.,60.5,up 1.2,4,3,4,3,3,Health Care/Life Sciences
118,118,Philip Morris International Inc,60.4,down 3.3,2,3,4,4,5,Consumer Goods
119,118,Vertex Pharmaceuticals Inc.,60.4,down 1.5,4,4,3,3,5,Health Care/Life Sciences
120,118,VF Corp.,60.4,up 1.1,4,4,3,4,3,Consumer Goods
121,121,Anthem Inc.,60.3,up 4.0,2,3,4,5,4,Financial Services
122,122,FedEx Corp.,60.2,up 2.7,4,3,3,4,4,Transportation/Logistics
123,123,Cardinal Health Inc.,60,up 5.4,4,3,3,5,3,Retail/Wholesale
124,123,Cigna Corp.,60,up 4.1,2,4,4,5,4,Financial Services
125,123,Eaton Corp.,60,down 4.4,4,3,3,4,3,Business/Consumer Services
126,123,Kellogg Co.,60,down 2.2,3,4,3,5,3,Consumer Goods
127,123,Waste Management Inc.,60,up 1.1,4,3,3,4,3,Business/Consumer Services
128,128,Becton Dickinson & Co.,59.9,down 1.0,3,4,4,4,3,Health Care/Life Sciences
129,129,Stanley Black & Decker Inc.,59.8,up 6.7,4,3,4,4,3,Consumer Goods
130,129,Yum Brands Inc.,59.8,up 0.7,3,4,4,4,4,Leisure/Arts/Hospitality
131,131,NextEra Energy Inc.,59.7,up 6.5,3,4,4,4,3,Utilities
132,131,Pitney Bowes Inc.,59.7,up 2.7,5,3,3,4,3,Business/Consumer Services
133,131,W.W. Grainger Inc.,59.7,down 0.6,5,4,2,4,3,Retail/Wholesale
134,131,Wells Fargo & Co.,59.7,up 1.6,2,3,5,4,3,Financial Services
135,135,Gap Inc.,59.6,up 5.4,4,3,4,5,2,Retail/Wholesale
136,135,Oshkosh Corp.,59.6,up 0.7,5,4,3,4,3,Automotive/Vehicles
137,135,Travelers Cos.,59.6,up 6.6,3,4,3,4,4,Financial Services
138,135,Western Union Co.,59.6,up 8.1,4,3,4,4,3,Financial Services
139,139,Costco Wholesale Corp.,59.5,down 4.5,3,4,4,3,5,Retail/Wholesale
140,139,Thermo Fisher Scientific Inc.,59.5,up 1.8,3,3,4,4,4,Health Care/Life Sciences
141,141,Air Products & Chemicals Inc.,59.4,up 0.1,2,4,3,5,3,Basic Materials/Resources
142,141,Baxter International Inc.,59.4,up 1.7,3,4,3,5,3,Health Care/Life Sciences
143,141,Goldman Sachs Group Inc.,59.4,up 2.9,3,4,3,5,4,Financial Services
144,141,Lowe's Cos.,59.4,up 2.4,3,2,3,4,5,Retail/Wholesale
145,141,Prudential Financial Inc.,59.4,up 8.8,2,3,4,5,4,Financial Services
146,141,Square Inc.,59.4,up 3.5,4,4,3,3,5,Technology
147,141,Xilinx Inc.,59.4,up 0.2,4,4,3,3,4,Technology
148,148,Hologic Inc.,59.3,up 1.3,5,4,3,3,4,Health Care/Life Sciences
149,148,PVH Corp.,59.3,down 0.9,5,4,3,4,2,Consumer Goods
150,150,Delta Air Lines Inc.,59.2,up 2.6,4,5,4,4,1,Transportation/Logistics
151,150,Ecolab Inc.,59.2,down 3.0,3,3,4,4,3,Business/Consumer Services
152,150,Synopsys Inc.,59.2,up 2.0,4,4,3,3,3,Technology
153,153,Hasbro Inc.,59,down 2.0,3,3,4,5,3,Consumer Goods
154,153,Micron Technology Inc.,59,up 5.0,4,4,4,4,3,Technology
155,155,Metlife Inc.,58.9,down 0.4,3,3,3,5,4,Financial Services
156,155,Polaris Inc.,58.9,up 1.4,4,4,4,3,4,Automotive
157,155,T. Rowe Price Group Inc.,58.9,up 4.1,3,3,3,4,5,Financial Services
158,158,Deckers Outdoor Corp.,58.8,,4,3,3,3,4,Consumer Goods
159,158,Hormel Foods Corp.,58.8,down 3.6,4,4,3,4,3,Consumer Goods
160,160,Church & Dwight Co.,58.7,up 0.5,4,4,3,4,3,Consumer Goods
161,160,Molson Coors Beverage Co.,58.7,down 4.2,4,3,3,4,2,Consumer Goods
162,162,Eastman Chemical Co.,58.6,up 1.4,5,4,3,4,2,Basic Materials/Resources
163,163,Uber Technologies Inc.,58.4,up 3.9,3,4,5,2,2,Technology
164,164,Aptiv PLC,58.3,up 2.2,4,3,3,4,3,Automotive/Vehicles
165,164,Avery Dennison Corp.,58.3,down 1.8,4,4,3,4,3,Basic Materials/Resources
166,166,Analog Devices Inc.,58.2,down 0.9,4,4,3,4,3,Technology
167,166,AT&T Inc.,58.2,down 7.4,3,3,4,5,3,Telecommunication Services
168,168,Hartford Financial Services Group Inc.,58.1,up 2.5,2,4,3,4,3,Financial Services
169,169,Mosaic Co.,58,up 4.9,4,3,3,4,3,Basic Materials/Resources
170,169,ON Semiconductor Corp.,58,up 2.6,5,3,3,4,3,Technology
171,169,Walt Disney Co.,58,down 3.9,2,4,4,5,2,Media/Entertainment
172,172,ResMed Inc.,57.9,down 3.6,4,4,3,4,3,Health Care/Life Sciences
173,173,Boston Scientific Corp.,57.8,down 4.1,2,4,3,5,2,Health Care/Life Sciences
174,173,Exelon Corp.,57.8,up 0.1,2,4,3,4,3,Utilities
175,175,Brown-Forman Corp.,57.7,down 2.4,4,4,3,4,3,Consumer Goods
176,175,Jacobs Engineering Group Inc.,57.7,up 4.2,4,4,3,4,3,Business/Consumer Services
177,175,Lululemon Athletica Inc.,57.7,down 3.4,4,4,3,3,4,Retail/Wholesale
178,178,Celanese Corp.,57.6,0,4,3,3,3,4,Basic Materials/Resources
179,178,UnitedHealth Group Inc.,57.6,down 0.5,2,3,4,4,5,Financial Services
180,180,Aecom,57.5,0,5,3,3,4,3,Real Estate/Construction
181,180,Corteva Inc.,57.5,up 8.2,3,4,5,2,3,Basic Materials/Resources
182,180,Freeport-McMoRan Inc.,57.5,up 1.7,4,4,3,4,3,Basic Materials/Resources
183,183,Iron Mountain Inc.,57.4,up 2.9,4,2,4,4,3,Real Estate/Construction
184,183,Sempra Energy,57.4,up 4.1,2,4,3,4,3,Energy
185,185,JetBlue Airways Corp.,57.3,up 5.6,5,4,4,3,2,Transportation/Logistics
186,185,Teradyne Inc.,57.3,down 1.4,4,4,2,3,5,Industrial Goods
187,187,Comcast Corp.,57.1,up 2.7,1,4,4,4,4,Media/Entertainment
188,187,CVS Health Corp.,57.1,up 0.8,4,1,4,4,4,Health Care/Life Sciences
189,187,Gilead Sciences Inc.,57.1,down 5.1,3,4,3,4,3,Health Care/Life Sciences
190,187,ServiceNow Inc.,57.1,down 3.3,3,4,3,3,4,Technology
191,191,BorgWarner Inc.,57,up 2.9,4,3,3,4,3,Automotive/Vehicles
192,191,Discover Financial Services,57,up 5.0,4,4,3,3,4,Financial Services
193,191,Hess Corp.,57,up 3.2,3,4,3,5,2,Energy
194,191,NetApp Inc.,57,down 3.4,4,4,3,4,4,Technology
195,191,Progressive Corp.,57,up 0.1,3,4,3,3,5,Financial Services
196,191,Tapestry Inc.,57,up 4.9,4,3,3,3,3,Consumer Goods
197,191,Waters Corp.,57,down 0.7,4,3,3,3,4,Industrial Goods
198,198,Avient Corp.,56.8,,4,4,3,4,3,Chemicals
199,198,Cognizant Technology Solutions Corp.,56.8,down 1.3,4,2,3,4,3,Business/Consumer Services
200,198,Sherwin-Williams Co.,56.8,down 2.0,4,3,3,4,4,Retail/Wholesale
201,201,Illinois Tool Works Inc.,56.7,down 3.0,3,3,3,4,4,Industrial Goods
202,201,NXP Semiconductors NV,56.7,up 0.6,3,3,3,4,3,Technology
203,203,Alcoa Corp.,56.6,up 2.1,4,3,3,4,2,Basic Materials/Resources
204,203,PerkinElmer Inc.,56.6,up 0.1,5,3,3,3,4,Industrial Goods
205,205,Juniper Networks Inc.,56.5,down 2.5,5,4,3,4,2,Technology
206,205,Mondelez International Inc.,56.5,down 1.7,3,4,3,4,3,Consumer Goods
207,207,Ryder System Inc.,56.3,up 4.0,5,3,3,4,2,Business/Consumer Services
208,207,Sysco Corp.,56.3,up 0.4,4,3,3,4,3,Retail/Wholesale
209,209,Baker Hughes Co.,56.2,down 0.6,3,3,4,5,2,Energy
210,209,BlackRock Inc.,56.2,down 2.1,2,4,3,4,3,Financial Services
211,209,Keurig Dr Pepper Inc.,56.2,up 1.0,5,3,3,4,3,Consumer Goods
212,212,LyondellBasell Industries NV,56.1,up 5.4,3,4,3,3,3,Basic Materials/Resources
213,212,Motorola Solutions Inc.,56.1,down 5.3,3,4,3,4,3,Technology
214,212,TechnipFMC PLC,56.1,up 6.5,5,3,3,3,2,Oil & Gas Products/Services
215,212,Western Digital Corp.,56.1,down 1.5,4,3,3,4,2,Technology
216,216,KLA Corp.,56,down 3.9,3,4,3,3,5,Technology
217,217,Autoliv Inc.,55.9,up 1.2,5,3,3,4,3,Automotive/Vehicles
218,218,Verisk Analytics Inc.,55.8,down 0.4,4,4,3,3,3,Business/Consumer Services
219,219,American Electric Power,55.7,up 2.7,2,4,4,4,3,Energy
220,219,McDonald's Corp.,55.7,down 4.4,2,2,4,4,4,Leisure/Arts/Hospitality
221,219,Pentair PLC,55.7,up 2.7,5,3,3,4,3,Industrial Goods
222,219,Seagate Technology PLC,55.7,down 1.5,3,3,3,4,4,Technology
223,223,Amcor PLC,55.6,down 0.1,4,3,3,4,3,Industrial Goods
224,223,Garmin Ltd.,55.6,down 3.0,3,3,4,3,4,Technology
225,223,J.M. Smucker Co.,55.6,down 0.6,4,3,3,4,3,Consumer Goods
226,226,Kimco Realty Corp.,55.5,up 2.4,4,4,3,3,3,Real Estate/Construction
227,226,U.S. Bancorp,55.5,up 3.0,2,3,4,4,3,Financial Services
228,228,Dominion Energy Inc.,55.3,down 0.6,2,4,3,4,3,Utilities
229,228,Southwest Airlines Co.,55.3,up 1.7,4,4,4,3,1,Transportation/Logistics
230,228,Ventas Inc.,55.3,up 4.8,4,3,3,4,2,Real Estate/Construction
231,231,International Paper Co.,55.2,down 1.3,4,3,3,4,3,Basic Materials/Resources
232,231,Levi Strauss & Co.,55.2,up 1.3,4,4,3,3,3,Consumer Goods
233,233,Boeing Co.,55.1,down 9.9,4,3,5,3,1,Industrial Goods
234,234,FactSet Research Systems Inc.,55,up 0.3,4,3,3,3,3,Media/Entertainment
235,234,Steel Dynamics Inc.,55,up 1.3,4,4,3,2,3,Basic Materials/Resources
236,236,Citrix Systems Inc.,54.9,down 3.8,3,4,3,3,3,Technology
237,236,Xerox Holdings Corp.,54.9,down 2.6,4,2,3,5,2,Technology
238,238,KB Home,54.8,up 2.5,4,3,2,4,3,Real Estate/Construction
239,238,TJX Cos.,54.8,down 0.3,3,3,3,4,3,Retail/Wholesale
240,240,ManpowerGroup Inc.,54.7,up 2.9,3,3,3,5,3,Business/Consumer Services
241,240,Public Service Enterprise Group Inc.,54.7,up 2.6,3,4,2,4,3,Multiutilities
242,240,Ralph Lauren Corp.,54.7,up 3.5,5,3,3,3,2,Consumer Goods
243,240,Southern Co.,54.7,down 3.7,3,4,3,3,3,Utilities
244,244,L3Harris Technologies Inc.,54.6,up 4.6,3,3,4,3,3,Technology
245,245,Nasdaq Inc.,54.5,up 4.4,3,4,2,4,3,Financial Services
246,246,Bunge Ltd.,54.4,up 6.2,3,4,3,4,4,Agriculture
247,246,Newell Brands Inc.,54.4,up 0.9,4,3,3,4,3,Consumer Goods
248,246,PNC Financial Services Group Inc.,54.4,down 1.4,4,3,3,4,3,Financial Services
249,249,Ansys Inc.,54.3,down 1.6,4,4,3,3,3,Technology
250,249,Hanesbrands Inc.,54.3,up 0.3,4,2,4,4,3,Consumer Goods
251,249,Nordstrom Inc.,54.3,up 4.3,4,3,3,4,2,Retail/Wholesale
252,249,Tesla Inc.,54.3,up 0.5,4,3,3,2,4,Automobile
