name,sex,age,height,weight,team,year,city,sport,event,medal
Paul Michel Pierre Adrien Masson (-Nossam),M,19,NA,NA,France,1896,Athina,Cycling,Cycling Men's 333 metres Time Trial,Gold
Paul Michel Pierre Adrien Masson (-Nossam),M,19,NA,NA,France,1896,Athina,Cycling,"Cycling Men's 10,000 metres",Gold
Ioannis Mitropoulos,M,NA,NA,NA,Greece,1896,Athina,Gymnastics,Gymnastics Men's Rings,Gold
Karl Neukirch,M,31,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Karl Neukirch,M,31,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Paul Neumann (-Newman),M,20,NA,NA,Austria,1896,Athina,Swimming,Swimming Men's 500 metres Freestyle,Gold
Georgios D. Orfanidis,M,NA,NA,NA,Greece,1896,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
John Bryant Paine,M,25,NA,NA,United States,1896,Athina,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold
Sumner Paine,M,27,NA,NA,United States,1896,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold
Leonidas "Leon" Pyrgos,M,NA,NA,NA,Greece,1896,Athina,Fencing,"Fencing Men's Foil, Masters, Individual",Gold
Richard Rstel,M,NA,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Richard Rstel,M,NA,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Felix Adolf Schmal,M,23,NA,NA,Austria,1896,Athina,Cycling,Cycling Men's 12-Hours Race,Gold
Fritz Richard Gustav Schuft,M,19,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Fritz Richard Gustav Schuft,M,19,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Carl Schuhmann,M,26,159,70,Germany,1896,Athina,Gymnastics,Gymnastics Men's Horse Vault,Gold
Carl Schuhmann,M,26,159,70,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Carl Schuhmann,M,26,159,70,Germany,1896,Athina,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Gold
Carl Schuhmann,M,26,159,70,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Friedrich Adolf "Fritz" Traun,M,20,NA,NA,Great Britain/Germany,1896,Athina,Tennis,Tennis Men's Doubles,Gold
Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Hermann Otto Ludwig Weingrtner,M,31,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Jules Alexis "Louis" Zutter,M,30,NA,NA,Switzerland,1896,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Edgar Lindenau Aabye,M,34,NA,NA,Denmark/Sweden,1900,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Margaret Ives Abbott (-Dunne),F,23,NA,NA,United States,1900,Paris,Golf,Golf Women's Individual,Gold
Louis Grenville "Lou" Abell,M,15,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Vladimir Atoff,M,20,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
A. Albert,M,NA,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Louis Albert Auguste-Dormeuil (Dormeuil-),M,31,NA,NA,Carabinier-15,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Gaston Achille Louis Aumoitte,M,15,NA,NA,France,1900,Paris,Croquet,"Croquet Mixed Singles, One Ball",Gold
Gaston Achille Louis Aumoitte,M,15,NA,NA,France,1900,Paris,Croquet,Croquet Mixed Doubles,Gold
Albert Jean Louis Ayat,M,25,NA,NA,France,1900,Paris,Fencing,"Fencing Men's epee, Masters, Individual",Gold
Albert Jean Louis Ayat,M,25,NA,NA,France,1900,Paris,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",Gold
Hermann Joseph Barrelet,M,20,NA,NA,France,1900,Paris,Rowing,Rowing Men's Single Sculls,Gold
Louis Bastien,M,18,NA,NA,France,1900,Paris,Cycling,Cycling Men's 25 kilometres,Gold
Rudolf (-Rezs) Bauer,M,21,NA,NA,Hungary,1900,Paris,Athletics,Athletics Men's Discus Throw,Gold
Irving Knott "Irv" Baxter,M,24,NA,NA,United States,1900,Paris,Athletics,Athletics Men's High Jump,Gold
Irving Knott "Irv" Baxter,M,24,NA,NA,United States,1900,Paris,Athletics,Athletics Men's Pole Vault,Gold
Charles Beachey Beachcroft (Kay-),M,NA,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Charles Bennett,M,29,NA,NA,Great Britain,1900,Paris,Athletics,"Athletics Men's 1,500 metres",Gold
Charles Bennett,M,29,NA,NA,Amateur Athletic Association,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold
John Graham Hope de la Poer Beresford,M,33,NA,NA,Foxhunters Hurlingham,1900,Paris,Polo,Polo Men's Polo,Gold
Franois Alexandre mile Billard,M,48,NA,NA,Esterel-1,1900,Paris,Sailing,Sailing Mixed 10-20 Ton,Gold
Lon Binoche,M,21,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Arthur Ernest Burrington Birkett,M,24,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Gaston Frdric Blanchy,M,31,NA,NA,Olle,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Franz Bckli,M,42,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Jules Henri Bouckaert,M,30,NA,NA,Cercle de l'Aviron Roubaix-4,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Alfred James Bowerman,M,26,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Franois Antoine Brandt,M,25,NA,NA,Minerva Amsterdam,1900,Paris,Rowing,Rowing Men's Coxed Pairs,Gold
Hermanus Gerardus Brockmann,M,28,NA,60,Minerva Amsterdam,1900,Paris,Rowing,Rowing Men's Coxed Pairs,Gold
Ernesto Mario "Enrico" Brusoni,M,21,NA,NA,Italy,1900,Paris,Cycling,Cycling Men's Points Race,Gold
Claude Percival Buckenham,M,24,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
George John Buckley,M,24,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Francis Romulus Burchell,M,26,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Tom Eustace Burridge,M,19,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
William John "Bill" Carr,M,23,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Jean Baptiste Albert Joseph Cau,M,25,NA,NA,Cercle de l'Aviron Roubaix-4,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Alfred Ernest Chalk,M,25,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
Charlot,M,NA,NA,NA,Cercle de l'Aviron Roubaix-4,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Frederick William Christian,M,32,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Thomas Coe,M,NA,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Jean Collas,M,25,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Antonio Conte,M,32,NA,NA,Italy,1900,Paris,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold
Charlotte Reinagle Cooper (-Sterry),F,29,NA,NA,Great Britain,1900,Paris,Tennis,Tennis Women's Singles,Gold
Charlotte Reinagle Cooper (-Sterry),F,29,NA,NA,Great Britain,1900,Paris,Tennis,Tennis Mixed Doubles,Gold
Harry Richard Corner,M,25,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
mile Louis Franois Dsir Coste,M,38,NA,NA,France,1900,Paris,Fencing,"Fencing Men's Foil, Individual",Gold
Robert Arnold Crawshaw,M,31,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Frederick William Cuming,M,24,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Lorne Campbell Currie,M,29,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed Open,Gold
Lorne Campbell Currie,M,29,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Denis St. George Daly,M,37,NA,NA,Foxhunters Hurlingham,1900,Paris,Polo,Polo Men's Polo,Gold
Jos de Amzola y Aspiza,M,26,NA,NA,Spain,1900,Paris,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,Gold
mile Roger de Thomas de Barbarin,M,39,NA,NA,France,1900,Paris,Shooting,Shooting Men's Trap,Gold
Louis Verrant Gabriel Le Bailly de la Falaise,M,34,NA,NA,France,1900,Paris,Fencing,"Fencing Men's Sabre, Individual",Gold
Bernard Alexandre Georges Edmond de Pourtals,M,29,NA,NA,Lerina,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Hlne de Pourtals (Barbey-),F,32,NA,NA,Lerina,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Hermann Alexandre de Pourtals,M,53,NA,NA,Lerina,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Harry Leopold DeBaecke,M,20,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
mile Henri Delchambre,M,24,NA,NA,Cercle de l'Aviron Roubaix-4,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Charles Devendeville,M,18,NA,NA,France,1900,Paris,Swimming,Swimming Men's Underwater Swimming,Gold
Hugh Lawrence "Laurie" Doherty,M,24,178,NA,Great Britain,1900,Paris,Tennis,Tennis Men's Singles,Gold
Hugh Lawrence "Laurie" Doherty,M,24,178,NA,Great Britain-1,1900,Paris,Tennis,Tennis Men's Doubles,Gold
Reginald Frank "Reggie" Doherty,M,27,NA,NA,Great Britain,1900,Paris,Tennis,Tennis Mixed Doubles,Gold
Reginald Frank "Reggie" Doherty,M,27,NA,NA,Great Britain-1,1900,Paris,Tennis,Tennis Men's Doubles,Gold
William Stephens Donne,M,24,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Raymond Clarence "Ray" Ewry,M,26,185,79,United States,1900,Paris,Athletics,Athletics Men's Standing High Jump,Gold
Raymond Clarence "Ray" Ewry,M,26,185,79,United States,1900,Paris,Athletics,Athletics Men's Standing Long Jump,Gold
Raymond Clarence "Ray" Ewry,M,26,185,79,United States,1900,Paris,Athletics,Athletics Men's Standing Triple Jump,Gold
"John Onins Exley, Jr.",M,32,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
William Edgar Exshaw,M,34,NA,NA,Olle,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
John Joseph Flanagan,M,32,178,95,United States,1900,Paris,Athletics,Athletics Men's Hammer Throw,Gold
Ramn Fonst Segundo,M,16,NA,NA,Cuba,1900,Paris,Fencing,"Fencing Men's epee, Individual",Gold
Emmanuel Foulon,M,28,NA,NA,Belgium,1900,Paris,Archery,Archery Men's Sur La Perche a La Herse,Gold
Dominique Maximien Gardres,M,43,NA,NA,France,1900,Paris,Equestrianism,Equestrianism Mixed High Jump,Gold
Henry Jean Guy "Jean-Guy" Gautier,M,24,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
John Francis Geiger,M,27,NA,83,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Pierre Gervais,M,NA,NA,NA,Baby-1,1900,Paris,Sailing,Sailing Mixed 0-0.5 Ton,Gold
Henri Joseph Marcel Gilardoni,M,24,NA,NA,Femur-1,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Gold
Auguste Paul Almire Giroux,M,25,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Charles Marius Duma Adolphe Gondouin,M,24,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Carl Heinrich Goler,M,15,NA,NA,"Germania Ruder Club, Hamburg-2",1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Gustav Ludwig Goler,M,21,NA,NA,"Germania Ruder Club, Hamburg-2",1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
"Carl Oscar Goler, II",M,24,NA,NA,"Germania Ruder Club, Hamburg-2",1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
William Sullivan Gosling,M,30,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
"John Gretton, Jr.",M,32,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed Open,Gold
"John Gretton, Jr.",M,32,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Gold
mile Grumiaux,M,38,NA,NA,France,1900,Paris,Archery,Archery Men's Sur La Perche a La Pyramide,Gold
Alfred Grtter,M,39,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Aim Joseph Haegeman,M,38,NA,NA,Belgium,1900,Paris,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Max Otto Hainle,M,18,NA,NA,Deutscher Schwimm Verband Berlin,1900,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Henry North Haslam,M,NA,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
Henri Alphonse Hazebrouck (Charlet-),M,22,NA,NA,Cercle de l'Aviron Roubaix-4,1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Edwin P. "Ed" Hedley,M,35,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Constantin Henriquez,M,NA,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
William Henry,M,40,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
"Henri Louis Hrouin, Sr.",M,24,NA,NA,France,1900,Paris,Archery,"Archery Men's Au Cordon Dore, 50 metres",Gold
"Henri Louis Hrouin, Sr.",M,24,NA,NA,France,1900,Paris,Archery,Archery Men's Championnat Du Monde,Gold
Jean Herv,M,NA,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Ernst Heinrich Hoppenberg,M,21,NA,NA,Germany,1900,Paris,Swimming,Swimming Men's 200 metres Backstroke,Gold
Ernst Heinrich Hoppenberg,M,21,NA,NA,Deutscher Schwimm Verband Berlin,1900,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Edward Hore,M,50,NA,NA,Bona Fide,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Gold
Frank Washington Jarvis,M,21,167,58,United States,1900,Paris,Athletics,Athletics Men's 100 metres,Gold
John Arthur Jarvis,M,28,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
John Arthur Jarvis,M,28,NA,NA,Great Britain,1900,Paris,Swimming,"Swimming Men's 1,000 metres Freestyle",Gold
John Arthur Jarvis,M,28,NA,NA,Great Britain,1900,Paris,Swimming,"Swimming Men's 4,000 metres Freestyle",Gold
Harry Wyndham Jefferson,M,51,NA,NA,Bona Fide,1900,Paris,Sailing,Sailing Mixed 3-10 Ton,Gold
Georges douard Johin,M,22,NA,NA,France,1900,Paris,Croquet,Croquet Mixed Doubles,Gold
James Henry Jones,M,NA,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
James Benner "Jim" Juvenal,M,26,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Walther Katzenstein,M,21,NA,NA,"Germania Ruder Club, Hamburg-2",1900,Paris,Rowing,Rowing Men's Coxed Fours,Gold
Foxhall Parker Keene,M,32,NA,NA,Foxhunters Hurlingham,1900,Paris,Polo,Polo Men's Polo,Gold
Emil Kellenberger,M,36,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Emil Kellenberger,M,36,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Peter Kemp,M,NA,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Roelof Klein,M,22,NA,NA,Minerva Amsterdam,1900,Paris,Rowing,Rowing Men's Coxed Pairs,Gold
Alvin Christian "Al" Kraenzlein,M,23,183,75,United States,1900,Paris,Athletics,Athletics Men's 60 metres,Gold
Alvin Christian "Al" Kraenzlein,M,23,183,75,United States,1900,Paris,Athletics,Athletics Men's 110 metres Hurdles,Gold
Alvin Christian "Al" Kraenzlein,M,23,183,75,United States,1900,Paris,Athletics,Athletics Men's 200 metres Hurdles,Gold
Alvin Christian "Al" Kraenzlein,M,23,183,75,United States,1900,Paris,Athletics,Athletics Men's Long Jump,Gold
Frederick Claude Vivian "Fred" Lane,M,20,NA,NA,Australia,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,Gold
Frederick Claude Vivian "Fred" Lane,M,20,NA,NA,Australia,1900,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,Gold
Marie Victor Xavier Lardanchet,M,36,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Jacques le Lavasseur,M,NA,NA,NA,Olle,1900,Paris,Sailing,Sailing Mixed 2-3 Ton,Gold
Hubert Jean Daniel Lefbvre,M,21,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Gustav Lexau,M,NA,NA,NA,Deutscher Schwimm Verband Berlin,1900,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Michael Victor Alexander Lindberg,M,24,NA,NA,"Osborne Swimming Club, Manchester",1900,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Roscoe Conkling Lockwood,M,24,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Maxwell Warburn "Maxey" Long,M,21,182,75,United States,1900,Paris,Athletics,Athletics Men's 400 metres,Gold
Ernst Lhrsen,M,NA,NA,NA,Deutscher Schwimm Verband Berlin,1900,Paris,Swimming,Swimming Men's 200 metres Team Swimming,Gold
Friedrich Lthi,M,49,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Frank Jay Mackey,M,48,178,NA,Foxhunters Hurlingham,1900,Paris,Polo,Polo Men's Polo,Gold
Lars Jrgen Madsen,M,28,NA,NA,Denmark,1900,Paris,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Gold
Edward "Ed" Marsh,M,26,NA,NA,Vesper Boat Club,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
Algernon Maudslay,M,27,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed Open,Gold
Algernon Maudslay,M,27,NA,NA,Scotia,1900,Paris,Sailing,Sailing Mixed 0.5-1 Ton,Gold
Louis Lucien Mrignac,M,26,NA,NA,France,1900,Paris,Fencing,"Fencing Men's Foil, Masters, Individual",Gold
Eugne Mougin,M,47,NA,NA,France,1900,Paris,Archery,"Archery Men's Au Chapelet, 50 metres",Gold
Louis Napolon Murat,M,48,NA,NA,France,1900,Paris,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,Gold
Georges Lambert Casimir Nagelmackers,M,54,NA,NA,Belgium-1,1900,Paris,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,Gold
Georg Naue,M,NA,NA,NA,Aschenbrodel,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
John Nicholas,M,20,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
August Nilsson,M,27,NA,NA,Denmark/Sweden,1900,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Joseph Adolphe Thophile Olivier,M,25,180,74,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
George Washington F. Orton,M,27,169,65,Canada,1900,Paris,Athletics,"Athletics Men's 2,500 metres Steeplechase",Gold
Nicolas Achille Paroche,M,32,170,NA,France,1900,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Gold
Paul Eugne Clestin Perquer,M,40,NA,NA,Esterel-1,1900,Paris,Sailing,Sailing Mixed 10-20 Ton,Gold
Heinrich Peters,M,NA,NA,NA,Aschenbrodel,1900,Paris,Sailing,Sailing Mixed 1-2 Ton,Gold
Alexandre Emmanuel Pharamond,M,23,164,70,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Alfred James Powlesland,M,24,NA,NA,Devon and Somerset Wanderers,1900,Paris,Cricket,Cricket Men's Cricket,Gold
Meyer Prinstein,M,21,180,74,United States,1900,Paris,Athletics,Athletics Men's Triple Jump,Gold
Paul Probst,M,30,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
William Francis Patterson "Bill" Quash,M,31,NA,NA,Upton Park FC,1900,Paris,Football,Football Men's Football,Gold
Cecil Quentin,M,NA,NA,NA,Cicely-1,1900,Paris,Sailing,Sailing Mixed 20+ Ton,Gold
Alfred "Toby" Rawlinson,M,33,NA,NA,Foxhunters Hurlingham,1900,Paris,Polo,Polo Men's Polo,Gold
Franois tienne "Frantz" Reichel,M,29,NA,NA,Union des Socits Franais de Sports Athletiques,1900,Paris,Rugby,Rugby Men's Rugby,Gold
Louis Marcel Richardet,M,35,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold
Louis Marcel Richardet,M,35,NA,NA,Switzerland,1900,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
