budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
195000000,81005,en,Jack the Giant Slayer,43.349855,2013/2/27,197687603,114,Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
105000000,64682,en,The Great Gatsby,61.196071,2013/5/10,351040419,143,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,2010/5/19,335154643,116,Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
180000000,68726,en,Pacific Rim,56.523205,2013/7/11,407602906,131,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
195000000,38356,en,Transformers: Dark of the Moon,28.529607,2011/6/28,1123746996,154,Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008/5/21,786636033,122,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,105864,en,The Good Dinosaur,51.692953,2015/11/14,331926147,93,Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
185000000,62177,en,Brave,125.114374,2012/6/21,538983207,93,Released,Change your fate.,Brave,6.7,4641
185000000,188927,en,Star Trek Beyond,65.352913,2016/7/7,343471816,122,Released,,Star Trek Beyond,6.6,2568
180000000,10681,en,WALL·E,66.390712,2008/6/22,521311860,98,Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
140000000,5174,en,Rush Hour 3,22.57178,2007/8/8,258022233,91,Released,The Rush Is On!,Rush Hour 3,6.1,783
200000000,14161,en,2012,45.274225,2009/10/10,769653595,158,Released,We Were Warned.,2012,5.6,4903
200000000,17979,en,A Christmas Carol,39.744242,2009/11/4,325233863,96,Released,Season's Greedings,A Christmas Carol,6.6,1095
176000003,76757,en,Jupiter Ascending,85.36908,2015/2/4,183987723,124,Released,Expand your universe.,Jupiter Ascending,5.2,2768
180000000,258489,en,The Legend of Tarzan,42.741719,2016/6/29,356743061,109,Released,Human. Nature.,The Legend of Tarzan,5.5,2430
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005/12/7,748806957,143,Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,246655,en,X-Men: Apocalypse,139.272042,2016/5/18,543934787,144,Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721
185000000,155,en,The Dark Knight,187.322927,2008/7/16,1004558444,152,Released,Why So Serious?,The Dark Knight,8.2,12002
175000000,14160,en,Up,92.201962,2009/5/13,735099082,96,Released,,Up,7.7,6870
175000000,15512,en,Monsters vs Aliens,36.167578,2009/3/19,381509870,94,Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423
140000000,1726,en,Iron Man,120.725053,2008/4/30,585174222,126,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
170000000,44826,en,Hugo,32.319043,2011/11/22,185770160,126,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141
170000000,8487,en,Wild Wild West,40.748915,1999/6/29,222104681,106,Released,It's a whole new west.,Wild Wild West,5.1,1020
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008/7/1,401128639,112,Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,297761,en,Suicide Squad,90.23792,2016/8/2,745000000,123,Released,Worst Heroes Ever,Suicide Squad,5.9,7458
175000000,2698,en,Evan Almighty,27.082182,2007/6/9,173000000,96,Released,A comedy of biblical proportions,Evan Almighty,5.3,1151
178000000,137113,en,Edge of Tomorrow,79.456485,2014/5/27,370541256,113,Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
175000000,9804,en,Waterworld,44.640292,1995/7/28,264218220,135,Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,2009/8/4,302469017,118,Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
175000000,150540,en,Inside Out,128.655964,2015/6/9,857611174,94,Released,Meet the little voices inside your head.,Inside Out,8,6560
175000000,278927,en,The Jungle Book,94.199316,2016/4/7,966550600,106,Released,,The Jungle Book,6.7,2892
200000000,10138,en,Iron Man 2,77.300194,2010/4/28,623933331,124,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
170000000,58595,en,Snow White and the Huntsman,77.178973,2012/5/30,396600000,127,Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
180000000,102651,en,Maleficent,110.620647,2014/5/28,758539785,97,Released,Don't believe the fairy tale.,Maleficent,7,4496
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,2014/6/26,710644566,130,Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
27000000,79698,en,The Lovers,2.418535,2015/2/13,0,109,Released,Love is longer than life.,The Lovers,4.8,34
175000000,64686,en,47 Ronin,41.796339,2013/12/6,150962475,119,Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
170000000,100402,en,Captain America: The Winter Soldier,72.225265,2014/3/20,714766572,136,Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
165000000,10192,en,Shrek Forever After,44.041186,2010/5/16,752600867,93,Released,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959
190000000,158852,en,Tomorrowland,130.311355,2015/5/19,209154322,130,Released,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
165000000,177572,en,Big Hero 6,203.73459,2014/10/24,652105443,102,Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
165000000,82690,en,Wreck-It Ralph,62.341073,2012/11/1,471222889,108,Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
165000000,5255,en,The Polar Express,47.323228,2004/11/10,305875730,100,Released,This holiday season... believe.,The Polar Express,6.4,1474
165000000,47933,en,Independence Day: Resurgence,48.775723,2016/6/22,389681935,120,Released,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
165000000,10191,en,How to Train Your Dragon,67.263269,2010/3/5,494878759,98,Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,2003/7/2,435000000,109,Released,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143
170000000,118340,en,Guardians of the Galaxy,481.098624,2014/7/30,773328629,121,Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
165000000,157336,en,Interstellar,724.247784,2014/11/5,675120017,169,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,27205,en,Inception,167.58371,2010/7/14,825532764,148,Released,Your mind is the scene of the crime.,Inception,8.1,13752
15000000,315011,ja,シン・ゴジラ,9.476999,2016/7/29,77000000,120,Released,A god incarnate. A city doomed.,Shin Godzilla,6.5,143
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,2012/11/26,1021103568,169,Released,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8297
38000000,9799,en,The Fast and the Furious,6.909942,2001/6/22,207283925,106,Released,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428
150000000,4922,en,The Curious Case of Benjamin Button,60.269279,2008/11/24,333932083,166,Released,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292
160000000,49538,en,X-Men: First Class,3.195174,2011/5/24,353624124,132,Released,Witness the moment that will change our world.,X-Men: First Class,7.1,5181
160000000,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,2015/11/18,653428261,137,Released,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,27022,en,The Sorcerer's Apprentice,35.580815,2010/7/13,215283742,109,Released,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470
160000000,503,en,Poseidon,21.133748,2006/5/12,181674817,99,Released,Mayday,Poseidon,5.5,583
170000000,241259,en,Alice Through the Looking Glass,56.268916,2016/5/25,299370084,113,Released,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725
160000000,810,en,Shrek the Third,42.986467,2007/5/17,798958165,93,Released,Who's ready for Thirds?,Shrek the Third,6,2278
160000000,68735,en,Warcraft,63.148529,2016/5/25,433677183,123,Released,Two worlds. One home.,Warcraft,6.3,2268
155000000,87101,en,Terminator Genisys,202.042635,2015/6/23,440603537,126,Released,Reset the future,Terminator Genisys,5.8,3631
155000000,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,2010/8/13,415686217,113,Released,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,676,en,Pearl Harbor,34.20669,2001/5/21,449220945,183,Released,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791
150000000,1858,en,Transformers,25.468493,2007/6/27,709709780,144,Released,Their war. Our world.,Transformers,6.6,4040
155000000,1966,en,Alexander,39.019229,2004/11/21,167298192,175,Released,The greatest legend of all was real.,Alexander,5.6,927
150000000,675,en,Harry Potter and the Order of the Phoenix,78.144395,2007/6/28,938212738,138,Released,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,674,en,Harry Potter and the Goblet of Fire,101.250416,2005/11/5,895921036,157,Released,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
150000000,8960,en,Hancock,56.758411,2008/7/1,624029371,92,Released,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961
150000000,6479,en,I Am Legend,70.867401,2007/12/14,585349010,101,Released,The last man on Earth is not alone,I Am Legend,6.9,4853
150000000,118,en,Charlie and the Chocolate Factory,53.905592,2005/7/13,474968763,115,Released,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
150000000,2062,en,Ratatouille,65.677399,2007/6/22,623722818,111,Released,He's dying to become a chef.,Ratatouille,7.5,4369
150000000,272,en,Batman Begins,115.040024,2005/6/10,374218673,140,Released,Evil fears the knight.,Batman Begins,7.5,7359
150000000,10527,en,Madagascar: Escape 2 Africa,44.141021,2008/10/30,603900354,89,Released,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810
150000000,18360,en,Night at the Museum: Battle of the Smithsonian,81.781591,2009/5/20,413106170,105,Released,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,2080,en,X-Men Origins: Wolverine,5.954334,2009/4/28,373062864,107,Released,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
150000000,605,en,The Matrix Revolutions,73.313918,2003/11/5,424988211,129,Released,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096
150000000,109445,en,Frozen,165.125366,2013/11/27,1274219009,102,Released,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295
150000000,604,en,The Matrix Reloaded,70.78591,2003/5/15,738599701,138,Released,Free your mind.,The Matrix Reloaded,6.7,3443
170000000,76338,en,Thor: The Dark World,99.499595,2013/10/29,644571402,112,Released,Delve into the darkness,Thor: The Dark World,6.8,4755
150000000,76341,en,Mad Max: Fury Road,434.278564,2015/5/13,378858340,120,Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427
150000000,13448,en,Angels & Demons,67.447636,2009/5/13,356613439,138,Released,,Angels & Demons,6.5,2129
150000000,10195,en,Thor,86.493424,2011/4/21,449326618,115,Released,Two worlds. One hero.,Thor,6.6,6525
150000000,13053,en,Bolt,41.845878,2008/11/21,309979994,98,Released,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
150000000,19585,en,G-Force,26.710398,2009/7/21,292817841,88,Released,The world needs bigger heroes,G-Force,5.1,510
150000000,57165,en,Wrath of the Titans,44.927635,2012/3/27,301000000,99,Released,Feel the Wrath,Wrath of the Titans,5.5,1431
150000000,62213,en,Dark Shadows,50.306728,2012/5/8,245527149,113,Released,Every Family Has Its Demons,Dark Shadows,5.7,2320
150000000,177677,en,Mission: Impossible - Rogue Nation,114.522237,2015/7/23,682330139,131,Released,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224
150000000,7978,en,The Wolfman,21.214571,2010/2/11,0,102,Released,When the moon is full the legend comes to life,The Wolfman,5.5,549
150000000,5559,en,Bee Movie,29.332905,2007/10/28,287594577,91,Released,Born to bee wild.,Bee Movie,5.7,1171
150000000,49444,en,Kung Fu Panda 2,51.247321,2011/5/25,665692281,91,Released,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880
150000000,10196,en,The Last Airbender,33.769336,2010/6/30,318502923,103,Released,"Four nations, one destiny",The Last Airbender,4.7,1151
150000000,956,en,Mission: Impossible III,63.079003,2006/5/3,397850012,126,Released,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028
150000000,117251,en,White House Down,39.004588,2013/6/27,205366737,131,Released,It will start like any other day.,White House Down,6.4,1891
150000000,50321,en,Mars Needs Moms,12.362599,2011/3/9,38992758,88,Released,Mom needs a little space.,Mars Needs Moms,5.5,199
149000000,11619,en,Flushed Away,22.550135,2006/10/22,64459316,85,Released,Someone's Going Down,Flushed Away,6,874
150000000,266647,en,Pan,48.03528,2015/9/24,128388320,111,Released,Every legend has a beginning.,Pan,5.9,954
145000000,82703,en,Mr. Peabody & Sherman,38.73494,2014/2/7,272912430,92,Released,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843
175000000,652,en,Troy,66.803149,2004/5/13,497409852,163,Released,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759
145000000,80321,en,Madagascar 3: Europe's Most Wanted,44.989192,2012/6/6,746921274,93,Released,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,36669,en,Die Another Day,54.159392,2002/11/17,431971116,133,Released,He’s never been cooler.,Die Another Day,5.8,1092
144000000,43074,en,Ghostbusters,66.21806,2016/7/14,229147509,116,Released,Who You Gonna Call?,Ghostbusters,5.3,2142
140000000,95,en,Armageddon,58.485967,1998/7/1,553799566,151,Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482
140000000,608,en,Men in Black II,91.332849,2002/7/3,441818803,88,Released,Same Planet. New Scum.,Men in Black II,6,3114
70000000,2310,en,Beowulf,35.601665,2007/11/5,195735876,115,Released,Evil breeds pain.,Beowulf,5.5,841
145000000,140300,en,Kung Fu Panda 3,56.747978,2016/1/23,521170825,95,Released,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603
145000000,56292,en,Mission: Impossible - Ghost Protocol,77.77477,2011/12/7,694713380,133,Released,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,81188,en,Rise of the Guardians,61.788035,2012/11/21,306941670,97,Released,You better believe.,Rise of the Guardians,7.1,1922
100000000,7552,en,Fun with Dick and Jane,25.159168,2005/12/21,202026112,90,Released,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627
140000000,616,en,The Last Samurai,52.341226,2003/12/5,456758981,154,Released,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895
140000000,147441,en,Exodus: Gods and Kings,101.599427,2014/12/3,268031828,150,Released,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921
150000000,13475,en,Star Trek,73.616808,2009/5/6,385680446,127,Released,The future begins.,Star Trek,7.4,4518
139000000,557,en,Spider-Man,82.502566,2002/5/1,821708551,121,Released,With great power comes great responsibility.,Spider-Man,6.8,5265
145000000,82702,en,How to Train Your Dragon 2,100.21391,2014/6/12,609123048,102,Released,The training is over.,How to Train Your Dragon 2,7.6,3106
140000000,205584,en,Gods of Egypt,56.257249,2016/2/25,150680864,127,Released,The battle for eternity begins,Gods of Egypt,5.3,1277
135000000,10048,en,Stealth,17.88953,2005/7/28,76932943,121,Released,Fear The Sky,Stealth,4.9,331
130000000,13183,en,Watchmen,64.798873,2009/3/5,185258983,163,Released,Justice is coming to all of us.  No matter what we do.,Watchmen,7,2811
140000000,944,en,Lethal Weapon 4,24.855701,1998/7/10,285444603,127,Released,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
137000000,1927,en,Hulk,34.981698,2003/6/19,245360480,138,Released,Unleash the hero within,Hulk,5.3,1533
130000000,72559,en,G.I. Joe: Retaliation,59.325589,2013/3/26,371876278,110,Released,,G.I. Joe: Retaliation,5.4,3025
130000000,7364,en,Sahara,21.605568,2005/4/6,119269486,124,Released,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434
137000000,2114,en,Final Fantasy: The Spirits Within,26.074908,2001/7/2,85131830,106,Released,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433
140000000,1771,en,Captain America: The First Avenger,74.506246,2011/7/22,370569774,124,Released,When patriots become heroes,Captain America: The First Avenger,6.6,7047
135000000,36643,en,The World Is Not Enough,39.604363,1999/11/8,361832400,128,Released,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6,862
150000000,8619,en,Master and Commander: The Far Side of the World,36.973031,2003/11/14,212011111,138,Released,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790
120000000,50620,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,2012/11/13,829000000,115,Released,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,65759,en,Happy Feet Two,17.7735,2011/11/17,150406466,100,Released,Every step counts.,Happy Feet Two,5.8,373
150000000,1724,en,The Incredible Hulk,62.898336,2008/6/12,163712074,114,Released,You'll like him when he's angry.,The Incredible Hulk,6.1,3021
140000000,267935,en,The BFG,44.19092,2016/6/1,183345589,120,Released,The world is more giant than you can imagine.,The BFG,6,1000
135000000,281957,en,The Revenant,100.635882,2015/12/25,532950503,156,Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
135000000,77950,en,Turbo,44.765377,2013/7/11,282570682,96,Released,SLO NO MO,Turbo,6.1,1074
135000000,44896,en,Rango,29.91353,2011/3/2,245724603,107,Released,Heroes come in all different colors.,Rango,6.6,2051
132000000,270946,en,Penguins of Madagascar,84.366984,2014/11/22,373552094,92,Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
70000000,2503,en,The Bourne Ultimatum,45.381501,2007/8/3,442824138,115,Released,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888
130000000,9502,en,Kung Fu Panda,84.689648,2008/6/4,631744560,90,Released,Prepare for awesomeness.,Kung Fu Panda,6.9,3145
130000000,102899,en,Ant-Man,120.09361,2015/7/14,519311965,117,Released,Heroes don't get any bigger.,Ant-Man,7,5880
130000000,101299,en,The Hunger Games: Catching Fire,76.310119,2013/11/15,847423452,146,Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
135000000,228161,en,Home,63.473086,2015/3/18,368871007,94,Released,Worlds Collide,Home,6.8,1519
132000000,74,en,War of the Worlds,48.572726,2005/6/28,591739379,116,Released,They're already here.,War of the Worlds,6.2,2322
130000000,8961,en,Bad Boys II,38.068736,2003/7/18,273339556,147,Released,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564
130000000,417859,en,Puss in Boots,20.678787,2011/10/28,554987477,90,Released,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
110000000,27576,en,Salt,48.829437,2010/7/21,293329073,100,Released,Who is Salt?,Salt,6.2,2093
125000000,86834,en,Noah,46.115758,2014/3/20,362637473,139,Released,The end of the world is just the beginning.,Noah,5.6,2350
130000000,17578,en,The Adventures of Tintin,89.938296,2011/10/25,371940071,107,Released,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061
130000000,673,en,Harry Potter and the Prisoner of Azkaban,79.679601,2004/5/31,789804554,141,Released,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,6972,en,Australia,28.840997,2008/11/18,49554002,165,Released,Welcome to Australia!,Australia,6.3,694
130000000,82700,en,After Earth,42.840582,2013/5/30,243843127,100,Released,"Danger is real, fear is a choice",After Earth,5,2532
127500000,10567,en,Dinosaur,26.548594,2000/5/19,354248063,82,Released,You have never seen anything like this.,Dinosaur,6.2,542
127000000,181533,en,Night at the Museum: Secret of the Tomb,115.597753,2014/12/17,349424282,97,Released,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,38055,en,Megamind,68.757242,2010/10/28,321887208,95,Released,His brain is off the chain.,Megamind,6.7,1918
125000000,671,en,Harry Potter and the Philosopher's Stone,109.984351,2001/11/16,976475550,152,Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,49524,en,R.I.P.D.,39.448066,2013/7/18,61648500,96,Released,To protect and serve the living,R.I.P.D.,5.4,1260
140000000,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003/7/9,655011224,143,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
