Class,Order,Family,Genus,Species,Common name,Gestation/Incubation (days),Maximum longevity (yrs),Data quality
Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,27,47,acceptable
Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,28,25.6,acceptable
Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup,24,18.3,acceptable
Aves,Anseriformes,Anatidae,Aythya,americana,Redhead,26,22.6,acceptable
Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck,27,20.4,acceptable
Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup,26,22.1,acceptable
Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,24,29.5,acceptable
Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,24,28.8,acceptable
Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,26,42,acceptable
Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose,30,42,acceptable
Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,30,18.7,acceptable
Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye,30,18.4,acceptable
Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye,29,18,acceptable
Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose,24,27.5,acceptable
Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose,24,12,acceptable
Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose,21,22.5,acceptable
Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw,24,22.7,acceptable
Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan,35,32.5,acceptable
Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan,31,24.1,acceptable
Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan,36,70,acceptable
Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied whistling duck,27,8.2,acceptable
Aves,Anseriformes,Anatidae,Dendrocygna,viduata,White-faced whistling duck,27,12,acceptable
Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Harlequin duck,28,14.6,acceptable
Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Hooded merganser,31,15.7,acceptable
Aves,Anseriformes,Anatidae,Melanitta,fusca,White-winged scoter,28,21.4,acceptable
Aves,Anseriformes,Anatidae,Melanitta,nigra,Black scoter,29,16.8,acceptable
Aves,Anseriformes,Anatidae,Mergus,merganser,Common merganser,30,14.8,acceptable
Aves,Anseriformes,Anatidae,Mergus,serrator,Red-breasted merganser,32,21.3,acceptable
Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Ruddy duck,23,13.6,acceptable
Aves,Anseriformes,Anatidae,Polysticta,stelleri,Steller's eider,26,23,acceptable
Aves,Anseriformes,Anatidae,Somateria,mollissima,Common eider,28,37.8,acceptable
Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated swift,24,10,acceptable
Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney swift,20,15,acceptable
Aves,Apodiformes,Apodidae,Cypseloides,niger,Black swift,24,16.1,acceptable
Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,13,9.1,acceptable
Aves,Apodiformes,Trochilidae,Calothorax,lucifer,Lucifer hummingbird,15,4.1,acceptable
Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,16,8.5,acceptable
Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's hummingbird,16,6,acceptable
Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed hummingbird,17,8.8,acceptable
Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Magnificent hummingbird,14,11,acceptable
Aves,Apodiformes,Trochilidae,Lampornis,clemenciae,Blue-throated hummingbird,18,12,acceptable
Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed hummingbird,16,14,acceptable
Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,16,8.9,acceptable
Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,15,7,acceptable
Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,75,35,acceptable
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,carolinensis,Chuck-will's-widow,20,14.8,acceptable
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,vociferus,Whip-poor-will,19,15,acceptable
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,19,10,acceptable
Aves,Charadriiformes,Alcidae,Aethia,cristatella,Crested auklet,34,10.8,acceptable
Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least auklet,30,8.1,acceptable
Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,36,42,acceptable
Aves,Charadriiformes,Alcidae,Cepphus,columba,Pigeon guillemot,31,15.2,acceptable
Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black guillemot,25,29.9,acceptable
Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Rhinoceros auklet,45,28.2,acceptable
Aves,Charadriiformes,Alcidae,Fratercula,arctica,Atlantic puffin,42,40.8,acceptable
Aves,Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,Xantus' murrelet,34,15,acceptable
Aves,Charadriiformes,Alcidae,Uria,aalge,Common murre,31,42.8,acceptable
Aves,Charadriiformes,Alcidae,Uria,lomvia,Thick-billed murre,33,29,acceptable
Aves,Charadriiformes,Charadriidae,Charadrius,alexandrinus,Snowy plover,24,19,acceptable
Aves,Charadriiformes,Charadriidae,Charadrius,melodus,Piping plover,28,14,acceptable
Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,Semipalmated plover,24,9.2,acceptable
Aves,Charadriiformes,Charadriidae,Charadrius,vociferus,Killdeer,24,10.9,acceptable
Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,Black-bellied plover,27,25.6,acceptable
Aves,Charadriiformes,Charadriidae,Vanellus,armatus,Blacksmith lapwing,29,18.6,acceptable
Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,Northern lapwing,24,24.5,acceptable
Aves,Charadriiformes,Haematopodidae,Haematopus,bachmani,Black oystercatcher,26,16,acceptable
Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,American oystercatcher,27,17,acceptable
Aves,Charadriiformes,Laridae,Anous,minutus,Black noddy,34,27.1,acceptable
Aves,Charadriiformes,Laridae,Anous,stolidus,Noddy tern,35,26.2,acceptable
Aves,Charadriiformes,Laridae,Chlidonias,niger,Black tern,21,21,acceptable
Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Black-headed gull,22,32.9,acceptable
Aves,Charadriiformes,Laridae,Gelochelidon,nilotica,Gull-billed tern,22,16,acceptable
Aves,Charadriiformes,Laridae,Gygis,alba,Fairy tern,36,35.9,acceptable
Aves,Charadriiformes,Laridae,Hydrocoloeus,minutus,Little gull,21,20.9,acceptable
Aves,Charadriiformes,Laridae,Hydroprogne,caspia,Caspian tern,21,30,acceptable
Aves,Charadriiformes,Laridae,Larosterna,inca,Inca tern,28,26,acceptable
Aves,Charadriiformes,Laridae,Larus,argentatus,Herring gull,26,49,acceptable
Aves,Charadriiformes,Laridae,Larus,californicus,California gull,25,30,acceptable
Aves,Charadriiformes,Laridae,Larus,canus,Mew gull,23,33.7,acceptable
Aves,Charadriiformes,Laridae,Larus,delawarensis,Ring-billed gull,21,31.8,acceptable
Aves,Charadriiformes,Laridae,Larus,glaucescens,Glaucous-winged gull,27,32,acceptable
Aves,Charadriiformes,Laridae,Larus,glaucoides,Iceland gull,25,33,acceptable
Aves,Charadriiformes,Laridae,Larus,hyperboreus,Glaucous gull,27,21.1,acceptable
Aves,Charadriiformes,Laridae,Larus,marinus,Great black-backed gull,27,29.2,acceptable
Aves,Charadriiformes,Laridae,Larus,occidentalis,Western gull,27,33.9,acceptable
Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,Laughing gull,24,22,acceptable
Aves,Charadriiformes,Laridae,Onychoprion,fuscatus,Sooty tern,28,35.8,acceptable
Aves,Charadriiformes,Laridae,Pagophila,eburnea,Ivory gull,25,23.9,acceptable
Aves,Charadriiformes,Laridae,Rissa,tridactyla,Black-legged kittiwake,27,28.5,acceptable
Aves,Charadriiformes,Laridae,Rynchops,niger,Black skimmer,23,20.2,acceptable
Aves,Charadriiformes,Laridae,Sterna,dougallii,Roseate tern,23,25.7,acceptable
Aves,Charadriiformes,Laridae,Sterna,forsteri,Forster's tern,23,15.8,acceptable
Aves,Charadriiformes,Laridae,Sterna,hirundo,Common tern,24,33,acceptable
Aves,Charadriiformes,Laridae,Sterna,paradisaea,Arctic tern,21,34,acceptable
Aves,Charadriiformes,Laridae,Sternula,albifrons,Little tern,21,23.9,acceptable
Aves,Charadriiformes,Laridae,Sternula,antillarum,Least tern,21,24.1,acceptable
Aves,Charadriiformes,Laridae,Thalasseus,elegans,Elegant tern,26,20.9,acceptable
Aves,Charadriiformes,Laridae,Thalasseus,maximus,Royal tern,28,28.6,acceptable
Aves,Charadriiformes,Laridae,Thalasseus,sandvicensis,Sandwich tern,22,30.8,acceptable
Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,Black-necked (Hawaiian) stilt,25,19.1,acceptable
Aves,Charadriiformes,Scolopacidae,Actitis,macularius,Spotted sandpiper,20,12,acceptable
Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,Ruddy turnstone,22,22.3,acceptable
Aves,Charadriiformes,Scolopacidae,Bartramia,longicauda,Upland sandpiper,22,8.9,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,alba,Sanderling,27,18.6,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Dunlin,21,28.8,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Red knot,22,27.3,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,maritima,Purple sandpiper,22,20.8,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,mauri,Western sandpiper,21,9.2,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,minutilla,Least sandpiper,20,16,acceptable
Aves,Charadriiformes,Scolopacidae,Calidris,pusilla,Semipalmated sandpiper,20,19.3,acceptable
Aves,Charadriiformes,Scolopacidae,Gallinago,gallinago,Common snipe,19,18.2,acceptable
Aves,Charadriiformes,Scolopacidae,Limnodromus,griseus,Short-billed dowitcher,21,13.3,acceptable
Aves,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus,Long-billed dowitcher,20,13.2,acceptable
Aves,Charadriiformes,Scolopacidae,Limosa,fedoa,Marbled godwit,24,13.7,acceptable
Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,Bar-tailed godwit,21,34,acceptable
Aves,Charadriiformes,Scolopacidae,Numenius,phaeopus,Whimbrel,22,24.2,acceptable
Aves,Charadriiformes,Scolopacidae,Phalaropus,tricolor,Wilson's phalarope,23,10,acceptable
Aves,Charadriiformes,Scolopacidae,Scolopax,minor,American woodcock,20,20.9,acceptable
Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,Willet,22,12.6,acceptable
Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Long-tailed jaeger,23,14,acceptable
Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,Parasidic jaeger,26,31.1,acceptable
Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,European white stork,33,39,acceptable
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumeniferus,Marabou,30,44.7,acceptable
Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,Wood stork,30,27,acceptable
Aves,Coliiformes,Coliidae,Colius,striatus,Speckled mousebird,14,11.5,acceptable
Aves,Columbiformes,Columbidae,Caloenas,nicobarica,Nicobar pigeon,17,20.5,acceptable
Aves,Columbiformes,Columbidae,Columba,livia,Rock dove,18,35,high
Aves,Columbiformes,Columbidae,Columbina,inca,Inca dove,14,13.3,acceptable
Aves,Columbiformes,Columbidae,Columbina,passerina,Common ground dove,13,7.2,acceptable
Aves,Columbiformes,Columbidae,Leptotila,verreauxi,White-tipped dove,14,8.6,acceptable
Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Band-tailed pigeon,19,18.5,acceptable
Aves,Columbiformes,Columbidae,Streptopelia,chinensis,Spotted dove,15,9.8,acceptable
Aves,Columbiformes,Columbidae,Streptopelia,decaocto,Eurasian collared-dove,15,17.9,acceptable
Aves,Columbiformes,Columbidae,Zenaida,asiatica,White-winged dove,13,25,acceptable
Aves,Columbiformes,Columbidae,Zenaida,macroura,Mourning dove,14,31.3,acceptable
Aves,Coraciiformes,Alcedinidae,Dacelo,novaeguineae,Laughing kookaburra,25,26.8,acceptable
Aves,Coraciiformes,Coraciidae,Coracias,caudatus,Lilac-breasted roller,21,13.7,acceptable
Aves,Coraciiformes,Momotidae,Momotus,momota,Blue-crowned motmot,21,20.3,acceptable
Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Yellow-billed cuckoo,14,5,acceptable
Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Black-billed cuckoo,14,5,acceptable
Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Greater roadrunner,20,9,acceptable
Aves,Eurypygiformes,Eurypygidae,Eurypyga,helias,Sunbittern,27,15,acceptable
Aves,Falconiformes,Falconidae,Caracara,cheriway,Crested caracara,32,25.8,acceptable
Aves,Falconiformes,Falconidae,Falco,columbarius,Merlin,30,12.7,acceptable
Aves,Falconiformes,Falconidae,Falco,femoralis,Aplomado falcon,32,12,acceptable
Aves,Falconiformes,Falconidae,Falco,mexicanus,Prairie falcon,31,17.2,acceptable
Aves,Falconiformes,Falconidae,Falco,peregrinus,Peregrine falcon,30,25,acceptable
Aves,Falconiformes,Falconidae,Falco,rusticolus,Gyrfalcon,35,13.5,acceptable
Aves,Falconiformes,Falconidae,Falco,sparverius,American kestrel,29,17,acceptable
Aves,Galliformes,Cracidae,Ortalis,vetula,Plain chachalaca,23,8.8,acceptable
Aves,Galliformes,Odontophoridae,Callipepla,californica,California quail,22,9.6,acceptable
Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's quail,22,7.4,acceptable
Aves,Galliformes,Odontophoridae,Colinus,virginianus,Northern bobwhite,23,6.4,acceptable
Aves,Galliformes,Phasianidae,Bonasa,umbellus,Ruffed grouse,24,11,acceptable
Aves,Galliformes,Phasianidae,Centrocercus,urophasianus,Sage grouse,26,7,acceptable
Aves,Galliformes,Phasianidae,Chrysolophus,amherstiae,Lady Amherst's pheasant,24,19.6,acceptable
Aves,Galliformes,Phasianidae,Coturnix,japonica,Japanese quail,17,6,acceptable
Aves,Galliformes,Phasianidae,Dendragapus,obscurus,Blue grouse,26,14,acceptable
Aves,Galliformes,Phasianidae,Falcipennis,canadensis,Spruce grouse,20,13,acceptable
Aves,Galliformes,Phasianidae,Francolinus,francolinus,Black francolin,19,7,acceptable
Aves,Galliformes,Phasianidae,Francolinus,pondicerianus,Grey francolin,18,8,acceptable
Aves,Galliformes,Phasianidae,Lagopus,lagopus,Willow ptarmigan,21,9,acceptable
Aves,Galliformes,Phasianidae,Lagopus,leucura,White-tailed ptarmigan,23,15,acceptable
Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Wild turkey,28,13,acceptable
Aves,Galliformes,Phasianidae,Pavo,cristatus,Indian peafowl,29,23.2,acceptable
Aves,Galliformes,Phasianidae,Perdix,perdix,Grey partridge,24,5.2,acceptable
Aves,Galliformes,Phasianidae,Phasianus,colchicus,Common pheasant,24,27,high
Aves,Galliformes,Phasianidae,Polyplectron,napoleonis,Palawan peacock-pheasant,19,15,acceptable
Aves,Galliformes,Phasianidae,Tympanuchus,cupido,Greater prairie chicken,23,5,acceptable
Aves,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Lesser prairie chicken,23,13.5,acceptable
Aves,Galliformes,Phasianidae,Tympanuchus,phasianellus,Sharp-tailed grouse,23,7.5,acceptable
Aves,Gaviiformes,Gaviidae,Gavia,arctica,Black-throated diver,29,28,acceptable
Aves,Gaviiformes,Gaviidae,Gavia,immer,Great northern diver,28,24.1,acceptable
Aves,Gaviiformes,Gaviidae,Gavia,stellata,Red-throated diver,28,24,acceptable
Aves,Gruiformes,Gruidae,Anthropoides,virgo,Demoiselle crane,28,27,high
Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey crowned crane,30,27.2,acceptable
Aves,Gruiformes,Gruidae,Grus,americana,Whooping crane,31,40,acceptable
Aves,Gruiformes,Gruidae,Grus,antigone,Sarus crane,32,41.8,acceptable
Aves,Gruiformes,Gruidae,Grus,canadensis,Sandhill crane,29,36.6,acceptable
Aves,Gruiformes,Gruidae,Grus,japonensis,Red-crowned crane,31,25.2,acceptable
Aves,Gruiformes,Gruidae,Grus,vipio,White-naped crane,31,45,acceptable
Aves,Gruiformes,Rallidae,Fulica,americana,American coot,23,22.3,acceptable
Aves,Gruiformes,Rallidae,Gallinula,chloropus,Common moorhen,19,18.6,acceptable
Aves,Gruiformes,Rallidae,Rallus,longirostris,Clapper rail,22,7.5,acceptable
Aves,Passeriformes,Aegithalidae,Psaltriparus,minimus,Bushtit,12,9.1,acceptable
Aves,Passeriformes,Alaudidae,Alauda,arvensis,Eurasian skylark,11,10.1,acceptable
Aves,Passeriformes,Alaudidae,Eremophila,alpestris,Horned lark,11,8,acceptable
Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,Cedar waxwing,14,8.2,acceptable
Aves,Passeriformes,Bombycillidae,Bombycilla,garrulus,Bohemian waxwing,14,13.5,acceptable
Aves,Passeriformes,Calcariidae,Calcarius,lapponicus,Lapland longspur,12,6,acceptable
Aves,Passeriformes,Calcariidae,Calcarius,pictus,Smith's longspur,12,5,acceptable
Aves,Passeriformes,Calcariidae,Plectrophenax,nivalis,Snow bunting,12,9.6,acceptable
Aves,Passeriformes,Cardinalidae,Cardinalis,cardinalis,Northern cardinal,12,28.5,acceptable
Aves,Passeriformes,Cardinalidae,Passerina,amoena,Lazuli bunting,12,9.9,acceptable
Aves,Passeriformes,Cardinalidae,Passerina,caerulea,Blue grosbeak,11,10.2,acceptable
Aves,Passeriformes,Cardinalidae,Passerina,ciris,Painted bunting,11,12,acceptable
Aves,Passeriformes,Cardinalidae,Passerina,cyanea,Indigo bunting,12,11,acceptable
Aves,Passeriformes,Cardinalidae,Pheucticus,ludovicianus,Rose-breasted grosbeak,12,24,acceptable
Aves,Passeriformes,Cardinalidae,Pheucticus,melanocephalus,Black-headed grosbeak,12,25,acceptable
Aves,Passeriformes,Cardinalidae,Piranga,ludoviciana,Western tanager,13,15.3,acceptable
Aves,Passeriformes,Cardinalidae,Piranga,olivacea,Scarlet tanager,13,11.9,acceptable
Aves,Passeriformes,Cardinalidae,Piranga,rubra,Summer tanager,12,7.9,acceptable
Aves,Passeriformes,Cardinalidae,Spiza,americana,Dickcissel,12,4.8,acceptable
Aves,Passeriformes,Corvidae,Aphelocoma,californica,Western scrub jay,18,15.8,acceptable
Aves,Passeriformes,Corvidae,Aphelocoma,coerulescens,Scrub jay,17,15,acceptable
Aves,Passeriformes,Corvidae,Aphelocoma,insularis,Island scrub jay,18,15.3,acceptable
Aves,Passeriformes,Corvidae,Aphelocoma,ultramarina,Mexican jay,18,25,acceptable
Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American crow,18,20,acceptable
Aves,Passeriformes,Corvidae,Corvus,caurinus,Northwestern crow,18,16.7,acceptable
Aves,Passeriformes,Corvidae,Corvus,corax,Common raven,19,69,acceptable
Aves,Passeriformes,Corvidae,Corvus,cryptoleucus,Chihuahuan raven,21,21.8,acceptable
Aves,Passeriformes,Corvidae,Corvus,hawaiiensis,Hawaiian crow,20,25,acceptable
