bite_date,SpeciesIDDesc,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,ResultsIDDesc
1994/5/8 0:00,DOG,UNKNOWN,,,,,NO,BODY,1994/5/9 0:00,RELEASED,UNKNOWN
1994/5/10 0:00,DOG,FEMALE,MULT COLOR,,,,NO,HEAD,1994/5/13 0:00,RELEASED,UNKNOWN
1994/5/22 0:00,DOG,MALE,TRI,,,,NO,BODY,1994/5/24 0:00,RELEASED,UNKNOWN
1994/6/10 0:00,DOG,UNKNOWN,,,,,NO,BODY,1994/6/15 0:00,RELEASED,UNKNOWN
1994/7/21 0:00,DOG,UNKNOWN,,,,,NO,BODY,1994/7/21 0:00,RELEASED,UNKNOWN
2009/10/29 0:00,CAT,FEMALE,GRAY,,,40206,NO,BODY,2009/10/30 0:00,UNKNOWN,UNKNOWN
2009/12/2 0:00,DOG,MALE,TAN-BRN,1,2010/1/16 0:00,40291,NO,BODY,2009/12/3 0:00,RELEASED,UNKNOWN
2009/12/11 0:00,DOG,MALE,BLK-BRN,,,40272,NO,BODY,2009/12/11 0:00,RELEASED,UNKNOWN
2009/12/21 0:00,DOG,UNKNOWN,BLACK,,,40218,NO,HEAD,2009/12/29 0:00,UNKNOWN,UNKNOWN
2009/12/24 0:00,DOG,MALE,BRN-WHT,1,2009/4/30 0:00,40165,NO,HEAD,2009/12/28 0:00,RELEASED,UNKNOWN
2009/12/24 0:00,DOG,UNKNOWN,BLACK,,,40229,NO,BODY,2009/12/29 0:00,UNKNOWN,UNKNOWN
2009/12/28 0:00,DOG,UNKNOWN,BLACK,,,40299,NO,HEAD,2009/12/29 0:00,UNKNOWN,UNKNOWN
2009/12/29 0:00,DOG,FEMALE,WHT-BRN,3,2008/6/7 0:00,40291,NO,BODY,2009/12/30 0:00,RELEASED,UNKNOWN
2009/12/30 0:00,DOG,FEMALE,WHITE,3,2010/1/6 0:00,40229,NO,BODY,2009/12/31 0:00,RELEASED,UNKNOWN
2009/12/30 0:00,DOG,MALE,BLK-WHT,,,40218,NO,BODY,2010/1/6 0:00,RELEASED,UNKNOWN
2009/12/30 0:00,DOG,FEMALE,BLK-WHT,1,2009/12/26 0:00,40220,NO,BODY,2010/1/6 0:00,UNKNOWN,UNKNOWN
2009/12/31 0:00,DOG,MALE,WHT-GRAY,3,2008/8/28 0:00,40220,NO,BODY,2010/1/4 0:00,RELEASED,UNKNOWN
2009/12/31 0:00,CAT,MALE,WHITE,1,2010/1/14 0:00,40220,NO,BODY,2010/1/4 0:00,RELEASED,UNKNOWN
2009/12/31 0:00,DOG,MALE,BRN,1,2009/7/23 0:00,40241,NO,BODY,2010/1/4 0:00,RELEASED,UNKNOWN
2010/1/1 0:00,DOG,FEMALE,WHT,1,2009/10/22 0:00,40228,NO,BODY,2010/1/4 0:00,RELEASED,UNKNOWN
2010/1/2 0:00,DOG,MALE,BLK-BRN,3,2008/2/7 0:00,40291,NO,HEAD,2010/1/4 0:00,RELEASED,UNKNOWN
2010/1/2 0:00,DOG,UNKNOWN,,,,40219,YES,BODY,2010/1/4 0:00,UNKNOWN,UNKNOWN
2010/1/2 0:00,CAT,FEMALE,,,,40291,NO,BODY,2010/1/4 0:00,RELEASED,UNKNOWN
2010/1/2 0:00,DOG,UNKNOWN,BLK,,,40216,NO,BODY,2010/1/4 0:00,UNKNOWN,UNKNOWN
2010/1/2 0:00,DOG,FEMALE,BRN-WHT,1,2010/1/27 0:00,40071,NO,HEAD,2010/1/6 0:00,RELEASED,UNKNOWN
2010/1/3 0:00,CAT,UNKNOWN,BLK-WHT,,,40216,YES,BODY,2010/1/20 0:00,UNKNOWN,UNKNOWN
2010/1/4 0:00,DOG,FEMALE,BLK,1,2010/1/15 0:00,40291,NO,BODY,2010/1/6 0:00,RELEASED,UNKNOWN
2010/1/4 0:00,DOG,MALE,TAN,1,2009/9/1 0:00,40031,NO,HEAD,2010/1/15 0:00,RELEASED,UNKNOWN
2010/1/5 0:00,DOG,MALE,BLK-TAN,1,2009/2/2 0:00,40241,NO,BODY,2010/1/6 0:00,UNKNOWN,UNKNOWN
2010/1/5 0:00,DOG,FEMALE,BRN,1,2009/3/31 0:00,40291,NO,BODY,2010/1/6 0:00,RELEASED,UNKNOWN
2010/1/6 0:00,DOG,UNKNOWN,BLUE,1,2009/5/20 0:00,40217,NO,BODY,2010/1/11 0:00,RELEASED,UNKNOWN
2010/1/7 0:00,DOG,FEMALE,TAN,3,2010/2/1 0:00,40217,NO,HEAD,2010/1/8 0:00,RELEASED,UNKNOWN
2010/1/7 0:00,DOG,MALE,BLK,3,2010/2/5 0:00,40219,NO,BODY,2010/1/8 0:00,RELEASED,UNKNOWN
2010/1/7 0:00,DOG,MALE,COPPER-WHT,1,2009/3/10 0:00,40222,NO,BODY,2010/1/8 0:00,RELEASED,UNKNOWN
2010/1/8 0:00,DOG,MALE,BLK-WHT,,,40214,NO,HEAD,2010/1/13 0:00,RELEASED,UNKNOWN
2010/1/8 0:00,DOG,FEMALE,WHT-BUFF,1,2010/1/6 0:00,40291,NO,BODY,2010/1/11 0:00,RELEASED,UNKNOWN
2010/1/9 0:00,DOG,UNKNOWN,BLK-WHT,,,40219,NO,BODY,,UNKNOWN,UNKNOWN
2010/1/9 0:00,CAT,UNKNOWN,,,,40272,YES,BODY,2010/1/11 0:00,UNKNOWN,UNKNOWN
2010/1/9 0:00,CAT,UNKNOWN,BLK,,,40272,NO,BODY,2010/1/9 0:00,UNKNOWN,UNKNOWN
2010/1/10 0:00,DOG,UNKNOWN,WHT,,,40229,YES,HEAD,2010/1/11 0:00,UNKNOWN,UNKNOWN
2010/1/11 0:00,DOG,MALE,BRN,1,2010/2/2 0:00,40272,NO,BODY,2010/1/11 0:00,RELEASED,UNKNOWN
2010/1/11 0:00,DOG,MALE,BLK-WHT,3,,40272,NO,HEAD,2010/1/12 0:00,RELEASED,UNKNOWN
2010/1/11 0:00,DOG,FEMALE,BRINDLE,3,2007/3/16 0:00,40272,NO,HEAD,2010/1/12 0:00,RELEASED,UNKNOWN
2010/1/12 0:00,DOG,MALE,BRN-WHT,,,40214,NO,BODY,,UNKNOWN,UNKNOWN
2010/1/12 0:00,DOG,MALE,TRI,,,40204,YES,BODY,2010/1/13 0:00,UNKNOWN,UNKNOWN
2010/1/12 0:00,DOG,MALE,BLK,1,2009/10/19 0:00,40219,NO,BODY,2010/1/13 0:00,RELEASED,UNKNOWN
2010/1/12 0:00,CAT,UNKNOWN,BLK-WHT,,,40208,NO,BODY,2010/1/12 0:00,UNKNOWN,UNKNOWN
2010/1/14 0:00,DOG,UNKNOWN,TAN,,,40206,YES,BODY,2010/1/15 0:00,UNKNOWN,UNKNOWN
2010/1/14 0:00,DOG,MALE,YELLOW,1,2010/1/1 0:00,40299,NO,BODY,2010/1/20 0:00,RELEASED,UNKNOWN
2010/1/15 0:00,DOG,MALE,BLACK/BROW,1,2010/2/2 0:00,40272,NO,HEAD,2010/1/19 0:00,RELEASED,UNKNOWN
2010/1/16 0:00,CAT,FEMALE,BLK-WHT,1,2010/2/2 0:00,40222,NO,BODY,2010/1/19 0:00,RELEASED,UNKNOWN
2010/1/16 0:00,DOG,MALE,TRI,3,2009/5/2 0:00,40219,NO,BODY,2010/1/21 0:00,UNKNOWN,UNKNOWN
2010/1/16 0:00,DOG,MALE,BLUE,1,2010/1/29 0:00,40205,NO,BODY,2010/1/20 0:00,RELEASED,UNKNOWN
2010/1/17 0:00,CAT,MALE,BROWN,1,2009/12/22 0:00,40206,NO,BODY,2010/1/19 0:00,RELEASED,UNKNOWN
2010/1/19 0:00,DOG,MALE,BLK,3,2009/5/1 0:00,40207,NO,BODY,2010/1/20 0:00,RELEASED,UNKNOWN
2010/1/20 0:00,DOG,MALE,BLK,1,2009/12/11 0:00,40223,NO,BODY,2010/1/28 0:00,RELEASED,UNKNOWN
2010/1/21 0:00,DOG,FEMALE,BRN,1,2009/7/13 0:00,40223,NO,HEAD,2010/1/25 0:00,RELEASED,UNKNOWN
2010/1/22 0:00,CAT,MALE,BLK-WHT,,,40258,YES,BODY,2010/1/25 0:00,UNKNOWN,UNKNOWN
2010/1/23 0:00,DOG,UNKNOWN,YELLOW,,,40208,YES,BODY,2010/1/25 0:00,UNKNOWN,UNKNOWN
2010/1/24 0:00,DOG,MALE,RED,3,2008/2/11 0:00,40245,NO,HEAD,2010/1/26 0:00,RELEASED,UNKNOWN
2010/1/25 0:00,CAT,FEMALE,GRAY-TORTI,,,40208,NO,HEAD,2010/1/28 0:00,UNKNOWN,UNKNOWN
2010/1/25 0:00,DOG,FEMALE,FAWN-WHT,1,2010/2/8 0:00,42784,NO,BODY,2010/1/25 0:00,RELEASED,UNKNOWN
2010/1/25 0:00,DOG,FEMALE,BRN-WHT,,,40165,NO,BODY,2010/1/28 0:00,RELEASED,UNKNOWN
2010/1/26 0:00,DOG,MALE,BROWN-BLK,,,40206,NO,BODY,2010/1/27 0:00,RELEASED,UNKNOWN
2010/1/27 0:00,DOG,MALE,BLACK,1,2010/3/1 0:00,40299,NO,BODY,2010/1/28 0:00,RELEASED,UNKNOWN
2010/1/27 0:00,CAT,UNKNOWN,,,,40220,YES,BODY,2010/1/28 0:00,UNKNOWN,UNKNOWN
2010/1/27 0:00,DOG,UNKNOWN,,,,40291,YES,BODY,2010/1/28 0:00,UNKNOWN,UNKNOWN
2010/1/27 0:00,DOG,UNKNOWN,YELLOW,1,2009/9/18 0:00,40272,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/27 0:00,DOG,FEMALE,BRN-BLACK,1,2010/7/30 0:00,40229,NO,BODY,2011/1/28 0:00,UNKNOWN,UNKNOWN
2010/1/28 0:00,DOG,FEMALE,TAN,1,2009/10/5 0:00,40218,NO,HEAD,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/28 0:00,DOG,FEMALE,BLK-TAN,1,2009/7/16 0:00,40204,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/29 0:00,DOG,MALE,BLK-WHT,,,40210,NO,HEAD,2010/2/2 0:00,RELEASED,UNKNOWN
2010/1/29 0:00,DOG,FEMALE,TAN,1,2009/3/17 0:00,40291,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/30 0:00,DOG,UNKNOWN,,,,40118,NO,HEAD,2010/2/1 0:00,UNKNOWN,UNKNOWN
2010/1/30 0:00,CAT,FEMALE,BLK,1,2010/2/19 0:00,46011,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/30 0:00,DOG,MALE,RED-WHT,1,2009/3/18 0:00,40218,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/30 0:00,DOG,MALE,BLK-TAN,,,40229,NO,BODY,2010/1/30 0:00,UNKNOWN,UNKNOWN
2010/1/31 0:00,CAT,MALE,TAN-BRN,1,2010/2/19 0:00,40299,NO,HEAD,2010/2/1 0:00,RELEASED,UNKNOWN
2010/1/31 0:00,DOG,MALE,B.MERLE-GR,,,40212,YES,HEAD,2010/2/1 0:00,UNKNOWN,UNKNOWN
2010/1/31 0:00,DOG,MALE,BLK-WHT,1,2009/2/14 0:00,40220,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/2/1 0:00,DOG,MALE,BROWN,1,2009/8/12 0:00,40215,NO,BODY,2010/2/1 0:00,RELEASED,UNKNOWN
2010/2/1 0:00,CAT,MALE,GRAY-WHT,,,40291,NO,BODY,2010/2/1 0:00,UNKNOWN,UNKNOWN
2010/2/1 0:00,DOG,MALE,TAN-WHT,,,40211,NO,BODY,2010/2/1 0:00,UNKNOWN,UNKNOWN
2010/2/2 0:00,DOG,MALE,BLONDE,1,2010/1/23 0:00,40059,NO,HEAD,2010/2/4 0:00,RELEASED,UNKNOWN
2010/2/2 0:00,CAT,UNKNOWN,GRAY-WHITE,,,40203,NO,BODY,2010/2/2 0:00,UNKNOWN,UNKNOWN
2010/2/3 0:00,DOG,MALE,BROWN-BLK,1,2009/5/12 0:00,40205,NO,BODY,2010/2/3 0:00,RELEASED,UNKNOWN
2010/2/4 0:00,DOG,UNKNOWN,,,,40229,NO,BODY,,UNKNOWN,UNKNOWN
2010/2/4 0:00,DOG,UNKNOWN,BRN-WHT,,2007/6/1 0:00,40228,NO,BODY,2010/2/4 0:00,UNKNOWN,UNKNOWN
2010/2/5 0:00,DOG,MALE,WHT,,,40217,NO,BODY,2010/2/5 0:00,RELEASED,UNKNOWN
2010/2/5 0:00,DOG,MALE,BROWN,,,40229,NO,HEAD,2010/2/8 0:00,UNKNOWN,UNKNOWN
2010/2/5 0:00,DOG,UNKNOWN,,,,40220,YES,BODY,2010/2/8 0:00,UNKNOWN,UNKNOWN
2010/2/6 0:00,DOG,MALE,BLK-BRN,,,40272,NO,BODY,2010/2/6 0:00,UNKNOWN,UNKNOWN
2010/2/7 0:00,DOG,FEMALE,WHT-BRN,3,2009/8/15 0:00,40215,NO,HEAD,2010/2/10 0:00,RELEASED,UNKNOWN
2010/2/7 0:00,DOG,MALE,TRI,3,2009/2/16 0:00,40228,NO,BODY,2010/2/8 0:00,RELEASED,UNKNOWN
2010/2/9 0:00,CAT,UNKNOWN,BLK-WHT,,,40203,NO,BODY,2010/2/9 0:00,UNKNOWN,UNKNOWN
2010/2/9 0:00,CAT,UNKNOWN,GREY,1,2009/8/20 0:00,40218,NO,BODY,2010/2/16 0:00,RELEASED,UNKNOWN
2010/2/10 0:00,DOG,UNKNOWN,,,,40218,YES,BODY,2010/2/10 0:00,UNKNOWN,UNKNOWN
2010/2/10 0:00,DOG,MALE,GRAY,1,2010/1/26 0:00,40214,NO,BODY,2010/2/11 0:00,RELEASED,UNKNOWN
2010/2/10 0:00,DOG,FEMALE,BLK,1,2010/1/18 0:00,40204,NO,BODY,2010/2/11 0:00,RELEASED,UNKNOWN
2010/2/10 0:00,DOG,MALE,BLK-WHT,1,2009/8/22 0:00,40014,NO,BODY,2010/2/19 0:00,RELEASED,UNKNOWN
2010/2/10 0:00,CAT,FEMALE,BLK-WHT,1,2009/6/9 0:00,40207,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/11 0:00,DOG,FEMALE,SILVER,1,2010/3/3 0:00,40217,NO,BODY,2010/2/11 0:00,RELEASED,UNKNOWN
2010/2/11 0:00,DOG,UNKNOWN,,,,40229,YES,HEAD,2010/2/12 0:00,UNKNOWN,UNKNOWN
2010/2/11 0:00,DOG,UNKNOWN,,,,40206,YES,BODY,2010/2/12 0:00,UNKNOWN,UNKNOWN
2010/2/12 0:00,DOG,MALE,BRN-WHT,1,2010/3/2 0:00,40218,NO,BODY,2010/2/16 0:00,RELEASED,UNKNOWN
2010/2/12 0:00,CAT,UNKNOWN,GREY,,,40208,NO,BODY,2010/2/12 0:00,UNKNOWN,UNKNOWN
2010/2/12 0:00,DOG,MALE,BLK,1,2010/2/22 0:00,40229,NO,BODY,2010/2/17 0:00,RELEASED,UNKNOWN
2010/2/13 0:00,CAT,UNKNOWN,GREY,1,2010/2/11 0:00,40242,NO,BODY,2010/2/16 0:00,RELEASED,UNKNOWN
2010/2/14 0:00,DOG,UNKNOWN,BRN,1,2009/10/7 0:00,40207,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/15 0:00,DOG,UNKNOWN,BLK,,,40216,NO,HEAD,2010/2/18 0:00,RELEASED,UNKNOWN
2010/2/16 0:00,DOG,UNKNOWN,BRN,,,40272,NO,BODY,,UNKNOWN,UNKNOWN
2010/2/16 0:00,CAT,FEMALE,BLK,,,40217,NO,BODY,2010/2/16 0:00,UNKNOWN,UNKNOWN
2010/2/16 0:00,DOG,FEMALE,GRAY,1,2009/5/31 0:00,40245,NO,BODY,2010/2/24 0:00,RELEASED,UNKNOWN
2010/2/18 0:00,DOG,UNKNOWN,,,,40217,YES,BODY,2010/2/18 0:00,UNKNOWN,UNKNOWN
2010/2/18 0:00,CAT,MALE,ORANGE,1,2010/3/1 0:00,40229,NO,BODY,2010/2/19 0:00,RELEASED,UNKNOWN
2010/2/18 0:00,DOG,MALE,TRI,1,2009/9/26 0:00,40299,NO,BODY,2010/2/19 0:00,RELEASED,UNKNOWN
2010/2/18 0:00,DOG,MALE,BLACK-TAN,1,2009/7/2 0:00,40241,NO,BODY,2010/2/19 0:00,RELEASED,UNKNOWN
2010/2/19 0:00,DOG,MALE,WHT,1,2009/11/13 0:00,40291,NO,BODY,2010/2/19 0:00,RELEASED,UNKNOWN
2010/2/20 0:00,CAT,FEMALE,WHT-BLK,1,2009/8/6 0:00,40241,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/20 0:00,DOG,UNKNOWN,BRINDLE-WH,,2010/1/2 0:00,40210,NO,BODY,2010/2/20 0:00,UNKNOWN,UNKNOWN
2010/2/20 0:00,DOG,UNKNOWN,RED-WHT,1,2009/7/29 0:00,40206,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/21 0:00,CAT,FEMALE,WHT-BLK,,,40219,NO,HEAD,2010/2/21 0:00,UNKNOWN,UNKNOWN
2010/2/21 0:00,DOG,FEMALE,WHT-TAN,3,2009/12/4 0:00,,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/21 0:00,DOG,FEMALE,BLK-TAN,3,2008/12/15 0:00,47150,NO,BODY,2010/2/22 0:00,RELEASED,UNKNOWN
2010/2/21 0:00,CAT,UNKNOWN,BRN-WHT,,,40299,NO,BODY,2010/2/21 0:00,UNKNOWN,UNKNOWN
2010/2/22 0:00,DOG,UNKNOWN,,,,40272,YES,BODY,2010/2/23 0:00,UNKNOWN,UNKNOWN
2010/2/22 0:00,DOG,FEMALE,BRN-WHT,3,2009/8/5 0:00,40214,NO,BODY,2010/2/24 0:00,RELEASED,UNKNOWN
2010/2/22 0:00,DOG,UNKNOWN,TAN-WHT,,2009/10/26 0:00,40216,NO,HEAD,2010/2/22 0:00,UNKNOWN,UNKNOWN
2010/2/23 0:00,DOG,UNKNOWN,,,,40216,NO,HEAD,2010/2/24 0:00,RELEASED,UNKNOWN
2010/2/23 0:00,DOG,UNKNOWN,,,,40220,YES,HEAD,2010/2/24 0:00,UNKNOWN,UNKNOWN
2010/2/23 0:00,CAT,MALE,LT. BR,1,2009/5/5 0:00,40047,NO,BODY,2010/2/26 0:00,RELEASED,UNKNOWN
2010/2/25 0:00,DOG,FEMALE,BLK,1,2010/2/24 0:00,40241,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/25 0:00,DOG,FEMALE,TRI,1,2010/3/24 0:00,40258,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/25 0:00,DOG,MALE,BRN,,,40216,NO,HEAD,2010/2/25 0:00,UNKNOWN,UNKNOWN
2010/2/26 0:00,DOG,MALE,WHT-BLK,,,40059,NO,HEAD,,UNKNOWN,UNKNOWN
2010/2/26 0:00,DOG,UNKNOWN,,,,40059,NO,HEAD,,UNKNOWN,UNKNOWN
2010/2/26 0:00,DOG,FEMALE,BLACK,1,2010/3/9 0:00,40059,NO,BODY,2010/2/26 0:00,RELEASED,UNKNOWN
2010/2/26 0:00,DOG,MALE,RED,1,2010/3/12 0:00,40206,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/26 0:00,DOG,MALE,BLK-BRN,,,40118,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/27 0:00,DOG,MALE,BLK-WHT,1,2009/6/8 0:00,40222,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/27 0:00,CAT,UNKNOWN,GRAY,,,40215,NO,BODY,2010/2/27 0:00,UNKNOWN,UNKNOWN
2010/2/27 0:00,DOG,UNKNOWN,BLONDE,,,40210,YES,BODY,2010/3/4 0:00,UNKNOWN,UNKNOWN
2010/2/28 0:00,CAT,FEMALE,GRAY,1,2009/3/21 0:00,40222,NO,BODY,2010/3/1 0:00,RELEASED,UNKNOWN
2010/2/28 0:00,DOG,UNKNOWN,,,,40272,NO,HEAD,2010/3/1 0:00,UNKNOWN,UNKNOWN
2010/2/28 0:00,CAT,UNKNOWN,,,,40211,YES,BODY,2010/3/1 0:00,UNKNOWN,UNKNOWN
2010/3/1 0:00,BAT,UNKNOWN,,,,40219,NO,BODY,,UNKNOWN,UNKNOWN
2010/3/1 0:00,DOG,UNKNOWN,,,,,NO,BODY,,UNKNOWN,UNKNOWN
2010/3/1 0:00,DOG,FEMALE,BLK-WHT,3,2008/12/31 0:00,40241,NO,BODY,2010/3/5 0:00,RELEASED,UNKNOWN
2010/3/2 0:00,CAT,UNKNOWN,,,,40203,NO,BODY,2010/3/2 0:00,UNKNOWN,UNKNOWN
2010/3/3 0:00,CAT,MALE,GRAY-WHT,,,40118,NO,HEAD,2010/3/8 0:00,UNKNOWN,UNKNOWN
2010/3/5 0:00,CAT,UNKNOWN,ORANGE,,2009/7/25 0:00,40223,NO,BODY,2010/3/5 0:00,UNKNOWN,UNKNOWN
2010/3/5 0:00,DOG,FEMALE,BR. BRINDL,,,40215,NO,BODY,2010/3/5 0:00,UNKNOWN,UNKNOWN
2010/3/5 0:00,DOG,MALE,WHT,1,,40204,NO,BODY,2010/3/15 0:00,RELEASED,UNKNOWN
2010/3/6 0:00,DOG,MALE,TAN,,,40272,NO,HEAD,2010/3/9 0:00,RELEASED,UNKNOWN
2010/3/6 0:00,DOG,MALE,BRN,1,2010/3/25 0:00,40220,NO,HEAD,2010/3/9 0:00,RELEASED,UNKNOWN
2010/3/6 0:00,DOG,UNKNOWN,BRN-WHT,,,40203,NO,BODY,2010/3/6 0:00,UNKNOWN,UNKNOWN
2010/3/6 0:00,DOG,UNKNOWN,BRN,,2010/3/5 0:00,40210,NO,BODY,2010/3/6 0:00,UNKNOWN,UNKNOWN
2010/3/6 0:00,DOG,UNKNOWN,BLK-TAN,1,2010/1/11 0:00,40299,YES,BODY,2010/3/8 0:00,RELEASED,UNKNOWN
2010/3/7 0:00,DOG,FEMALE,YELLOW,,,40118,NO,HEAD,2010/3/8 0:00,UNKNOWN,UNKNOWN
2010/3/7 0:00,DOG,UNKNOWN,,,,,NO,BODY,2010/3/8 0:00,UNKNOWN,UNKNOWN
2010/3/7 0:00,DOG,FEMALE,BLK,,,40216,NO,BODY,2010/3/8 0:00,RELEASED,UNKNOWN
2010/3/7 0:00,DOG,MALE,BLK-BRN,1,2009/8/26 0:00,40243,NO,BODY,2010/3/11 0:00,RELEASED,UNKNOWN
2010/3/7 0:00,DOG,UNKNOWN,BLK-WHT,,,40206,NO,BODY,2010/3/15 0:00,RELEASED,UNKNOWN
2010/3/8 0:00,DOG,MALE,BRN-WHT,,,40216,NO,BODY,2010/3/8 0:00,UNKNOWN,UNKNOWN
2010/3/8 0:00,DOG,MALE,CREAM,1,2010/3/8 0:00,40241,NO,HEAD,2010/3/9 0:00,RELEASED,UNKNOWN
2010/3/8 0:00,DOG,MALE,BLK-WHT,1,2009/8/3 0:00,40208,NO,BODY,2010/3/10 0:00,RELEASED,UNKNOWN
2010/3/8 0:00,DOG,UNKNOWN,WHT,,,40258,YES,BODY,2010/3/10 0:00,UNKNOWN,UNKNOWN
