Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
16,12,ABCI 2.0,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",Fujitsu,Japan,2021,Research,504000,451840,22208.72,54340.99,1600.32,13.87767447,Cluster,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Fujitsu PRIMERGY,Asia
17,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Fujitsu,Japan,2021,Academic,368640,,22121,25952.26,1468,15.06880109,Cluster,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu PRIMEHPC,Asia
18,14,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",IBM,Italy,2019,Academic,347776,316160,21640,29354,1476,14.66124661,Cluster,Power,3000,RHEL 7.6,Linux,Nvidia Volta V100,16, IBM Power Systems,Europe
19,,Chervonenkis,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband","YANDEX, NVIDIA",Russia,2021,Industry,193440,168480,21530,29415.17,,,Cluster,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,YANDEX Cluster,Europe
20,15,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",HPE,Switzerland,2017,Research,387872,319424,21230,27154.3,2384.24,8.904304936,MPP,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Cray XC,Europe
21,16,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",HPE,United States,2017,Research,979072,,20158.7,41461.15,7578.1,2.660125889,MPP,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Cray XC,North America
22,,ARCHER2,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,United Kingdom,2021,Research,716800,,19539,25804,,,MPP,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,HPE Cray EX,Europe
23,17,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Lenovo,Germany,2018,Academic,305856,,19476.6,26873.856,,,Cluster,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Lenovo ThinkSystem,Europe
24,18,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HPE,Germany,2020,Research,698880,,19334,25159.68,3905.83,4.950036228,Cluster,AMD Zen-2 (Rome),2250,CentOS Linux 8.1,Linux,None,64,HP Apollo,Europe
25,19,Ghawar-1,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",HPE,Saudi Arabia,2021,Industry,714240,,19256,22855.68,,,MPP,AMD Zen-2 (Rome),2000,SLES15 SP2,Linux,None,64,HPE Cray EX,Asia
26,20,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",IBM / NVIDIA / Mellanox,United States,2018,Research,288288,253440,18200,23047.2,,,Cluster,Power,3100,Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22, IBM Power Systems,North America
27,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,3296,5.462014563,Cluster,Intel Ice Lake,2600,Linux,Linux,None,38,Lenovo ThinkSystem,Asia
28,,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,3296,5.462014563,Cluster,Intel Ice Lake,2600,Linux,Linux,None,38,Lenovo ThinkSystem,Asia
29,21,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",IBM,France,2019,Industry,291024,270720,17860,25025.81,1367,13.06510607,Cluster,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,18, IBM Power Systems,Europe
30,22,HiPerGator AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",Nvidia,United States,2021,Academic,138880,120960,17200,21314.72,582.63,29.52130855,Cluster,AMD Zen-2 (Rome),2250,Red Hat Enterprise Linux,Linux,NVIDIA A100,64,NVIDIA DGX,North America
31,25,TOKI-SORA,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Fujitsu,Japan,2020,Research,276480,,16592,19464.2,,,Cluster,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu PRIMEHPC,Asia
32,26,Pioneer-EUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,United States,2020,Vendor,157440,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America
33,27,Pioneer-SCUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,United States,2021,Vendor,157440,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America
34,28,Pioneer-WEU,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,Netherlands,2021,Vendor,157440,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,Europe
35,29,Pioneer-WUS2,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,United States,2021,Others,157440,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America
36,,Galushkin,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband","YANDEX, NVIDIA",Russia,2021,Industry,134912,117504,16020,20636.1,,,Cluster,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,YANDEX Cluster,Europe
37,30,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",HPE,United States,2016,Research,622336,,14014.7,27880.653,3939,3.557933486,MPP,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Cray XC,North America
38,31,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",HPE,South Korea,2018,Research,570020,,13929.3,25705.9,,,Cluster,Intel Xeon Phi,1400,CentOS,Linux,None,68,Cray CS,Asia
39,32,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,2718.7,4.985691691,Cluster,Intel Xeon Phi,1400,Linux,Linux,None,68,Fujitsu Cluster,Asia
40,,Lyapunov,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband","NVIDIA, Inspur",Russia,2020,Industry,130944,114048,12810,20029.19,,,Cluster,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA A100 40GB,64,Inspur Cluster,Europe
41,33,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",HPE,Italy,2018,Industry,253600,177520,12210,18621.138,1320,9.25,Cluster,Intel Skylake,2100,RHEL 7.4,Linux,NVIDIA Tesla P100,24,HP Cluster Platform 3000,Europe
42,34,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Atos,France,2017,Research,561408,,11965.5,23396.352,3178,3.765103839,Cluster,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,BullSequana,Europe
43,,Christofari Neo,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",Nvidia,Russia,2021,Industry,98208,85536,11950,14908.61,,,Cluster,AMD Zen-2 (Rome),2250,NVIDIA DGX OS 5,Linux,NVIDIA A100 80GB​,64,NVIDIA DGX,Europe
44,35,Stampede2,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",DELL EMC,United States,2017,Academic,367024,,10680.7,18309.222,,,Cluster,Intel Xeon Phi,1400,CentOS,Linux,None,68,Dell PowerEdge Cluster,North America
45,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Atos,Luxembourg,2021,Research,99200,86400,10520,15288,390.25,26.9570788,Cluster,AMD Zen-2 (Rome),2350,RHEL compatible,Linux,NVIDIA A100 40GB,32,BullSequana,Europe
46,37,Cactus,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,United States,2021,Government,327680,,10013,11796.48,,,MPP,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,HPE Cray EX,North America
47,38,Dogwood,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",HPE,United States,2020,Government,327680,,10013,11796.48,,,MPP,AMD Zen-2 (Rome),2250,HPE Cray OS,Linux,None,64,HPE Cray EX,North America
48,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",NEC,Japan,2021,Research,43776,,9990.7,13447.99,1390.95,7.182644955,Cluster,NEC Vector Engine,1600,VEOS,Linux,None,8,SX-Aurora TSUBASA,Asia
49,40,Amazon EC2 Instance Cluster us-east-1a,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",Amazon Web Services,United States,2019,Industry,172692,,9950.26,15106.52,,,Cluster,Intel Skylake,3000,Amazon Linux 2,Linux,None,18,Amazon EC2,North America
50,41,NVIDIA Cambridge-1 DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",Nvidia,United States,2021,Vendor,79360,69120,9682,12047,,,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 80GB​,64,NVIDIA DGX,North America
51,42,DGX SuperPOD,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",Nvidia,United States,2020,Vendor,127488,122880,9444,11209.114,,,Cluster,Intel Skylake,3100,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,North America
52,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Atos,Germany,2021,Research,105840,81648,9330,14508,384.1,24.29054934,Cluster,AMD Zen-2 (Rome),2250,CentOS,Linux,NVIDIA A100 40GB,64,BullSequana,Europe
53,44,Gadi,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",Fujitsu / Lenovo,Australia,2020,Academic,204032,51200,9264.31,15142.1952,,,Cluster,Intel Cascade lake,3200,CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Fujitsu PRIMERGY,Oceania
54,45,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280,9000,15208.23,797.54,11.28470045,Cluster,Intel Skylake,3000,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,QCT QuantaGrid,Asia
55,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Atos,Brazil,2021,Industry,188224,174080,8983,14006.48,943.12,9.524768852,Cluster,Intel Cascade lake,2100,CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Supermicro Cluster,South America
56,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Lenovo,Germany,2021,Research,96768,82944,8620,16031.54,377,22.86472149,Cluster,Intel Ice Lake,2400,SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Lenovo ThinkSystem,Europe
57,48,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",IBM,United States,2019,Academic,130000,120000,8339,11032.032,512.08,16.28456491,Cluster,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,20, IBM Power Systems,North America
58,49,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Atos,France,2020,Research,294912,,8191.03,10321.92,1672,4.898941388,Cluster,AMD Zen-2 (Rome),2250,bullx SCS,Linux,None,64,BullSequana,Europe
59,50,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2",HPE,Japan,2017,Academic,135828,120736,8125,12127.069,792.08,10.25780224,Cluster,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,HPE SGI 8600,Asia
60,51,Roxy,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",HPE,United States,2020,Government,174720,,8124.48,13977.6,,,Cluster,Intel Cascade lake,2500,CentOS Linux 7,Linux,None,20,HP Apollo,North America
61,52,HoreKa-Green,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Lenovo,Germany,2021,Academic,90932,77328,8025.6,15006.79,358.79,22.3685164,Cluster,Intel Ice Lake,2400,Linux,Linux,NVIDIA A100 40GB,38,Lenovo ThinkSystem,Europe
62,53,Narwhal,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",HPE,United States,2020,Government,276480,,8023.6,11501.57,,,MPP,AMD Zen-2 (Rome),2600,SLES15 SP2,Linux,None,64,HPE Cray EX,North America
63,54,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",NEC,Japan,2020,Research,34560,,7892.7,10510.66,1550.1,5.091736017,Cluster,NEC Vector Engine,1584,VEOS,Linux,None,8,SX-Aurora TSUBASA,Asia
64,55,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Atos,France,2020,Research,294912,,7683.36,10469.376,1655,4.642513595,Cluster,AMD Zen-2 (Rome),2250,bullx SCS,Linux,None,64,BullSequana,Europe
65,56,PupMaya,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",HPE,United States,2019,Government,169920,,7483.73,12902.4,,,Cluster,Intel Skylake,2400,CentOS Linux 7,Linux,None,20,HP Apollo,North America
66,57,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Nvidia,United Arab Emirates,2019,Industry,107568,103680,7257,9492.163,673,10.78306092,Cluster,Intel Skylake,2700,Ubuntu,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,Asia
67,58,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",HPE,United Kingdom,2016,Research,241920,,7038.93,8128.512,,,MPP,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Cray XC,Europe
68,,Levante,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",Atos,Germany,2021,Research,308096,,6998.79,10276,,,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,BullSequana,Europe
69,59,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",Atos,France,2019,Research,197120,,6988.04,12039.3728,1436,4.86632312,Cluster,AMD Zen-2 (Rome),2600,bullx SCS,Linux,None,64,BullSequana,Europe
70,60,Theta,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ",HPE,United States,2017,Research,280320,,6920.9,11661.312,,,MPP,Intel Xeon Phi,1300,Cray Linux Environment ,Linux,None,64,Cray XC,North America
71,,"Karolina, GPU partition","Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200",HPE,Czechia,2021,Academic,71424,62208,6752,9080.18,310.99,21.71130905,Cluster,AMD Zen-3 (Milan),2450,CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,HP Apollo,Europe
72,61,Christofari,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",Nvidia,Russia,2019,Industry,99600,96000,6669,8789.76,,,Cluster,Intel Skylake,2700,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,Europe
73,62,Flow,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Fujitsu,Japan,2020,Academic,110592,,6617.8,7785.6768,,,Cluster,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu PRIMEHPC,Asia
74,63,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Lenovo,Spain,2017,Academic,153216,,6470.8,10296.115,1632,3.96495098,Cluster,Intel Skylake,2100,SUSE Linux,Linux,None,24,Lenovo ThinkSystem,Europe
75,64,ONYX,"Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ",HPE,United States,2017,Research,211816,,6316.03,7455.92,,,MPP,Intel Broadwell,2200,Cray Linux Environment ,Linux,None,22,Cray XC,North America
76,,LUMI-C,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",HPE,Finland,2021,Research,194560,,6299.79,7626.75,1215.53,5.182751557,MPP,AMD Zen-3 (Milan),2450,HPE Cray OS,Linux,None,64,HPE Cray EX,Europe
77,65,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Atos,Germany,2018,Research,114480,,6177.73,9891.072,1361,4.539110948,Cluster,Intel Skylake,2700,CentOS,Linux,None,24,BullSequana,Europe
78,66,,"HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",HPE,Japan,2020,Research,100096,87040,6162,8439.62,,,Cluster,Intel Cascade lake,3000,RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,24,HPE SGI 8600,Asia
79,67,SQUID - CPU Nodes,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",NEC,Japan,2021,Academic,115520,,6105.1,8871.94,1222.2,4.99517264,Cluster,Intel Ice Lake,2400,CentOS,Linux,None,38,NEC Cluster,Asia
80,68,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Atos,Germany,2019,Academic,121920,,6048.26,8930.92,,,Cluster,Intel Cascade lake,2300,CentOS,Linux,None,48,Bull Cluster,Europe
81,70,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",HPE,United States,2016,Research,241108,,5951.55,7107.1488,4407,1.350476515,Cluster,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,SGI ICE,North America
82,71,Emmy+,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",Atos,Germany,2020,Academic,120296,,5948.8,8911.2576,,,Cluster,Intel Cascade lake,2300,Linux,Linux,None,48,BullSequana,Europe
83,,Narval (GPU),"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",DELL EMC,Canada,2021,Academic,76320,68688,5886,12165.35,311.14,18.91752909,Cluster,AMD Zen-3 (Milan),2650,Rocky Linux 8.4,Linux,NVIDIA A100,24,Dell PowerEdge Cluster,North America
84,72,Aitken,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",HPE,United States,2020,Research,175648,,5795.3,8329.73,1401,4.136545325,Cluster,Intel Cascade lake,2500,SLES12,Linux,None,20,HP Apollo,North America
85,73,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",HPE,United States,2019,Research,99792,,5780.62,9220.608,1432,4.03674581,Cluster,Intel Cascade lake,2900,RHEL 7.6,Linux,None,24,HPE SGI 8600,North America
86,74,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,1353.95,4.232431035,MPP,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Cray XC,Asia
87,75,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Cray Inc./Hitachi,Japan,2018,Research,135792,,5730.5,9125.222,1353.95,4.232431035,MPP,Intel Skylake,2100,Cray Linux Environment ,Linux,None,24,Cray XC,Asia
