企业名称,统一社会信用代码,注册号,组织机构代码,股票代码,省份,市,区/县,公司类型,企业标签,行业,法定代表人,注册资本,注册时间,营业期限自,营业期限至,核准机关,核准日期,经营范围,注册地址,手机号,电话,邮箱,公司网站,企业状态,ID,
广州美莱投资管理有限公司	,91440101070186592Q	,440106000787951	,070186592	,	,广东省	,广州市	,天河区	,有限责任公司;	,小微企业;	,商务服务业	,叶志阳	,2000万人民币	,2013-06-13	,2013-06-13	,	,广州市天河区工商行政管理局	,2019-03-14	,投资管理服务;商品批发贸易（许可审批类商品除外）;企业管理咨询服务;企业形象策划服务;商品零售贸易（许可审批类商品除外）;商品信息咨询服务;广告业;市场营销策划服务;医疗、医药咨询服务（不涉及医疗诊断、治疗及康复服务）;	,广州市天河区林和西横路222号自编首层101-103、104-116、2层、3层、4层、5-19层的1-6单元	,13610207819	;	13533136178	;		,	,	,	,在营（开业）企业	,174646811	,
嘉兴美莱医疗美容门诊部有限公司	,91330402MA2BB1YR02	,	,MA2BB1YR0	,	,浙江省	,嘉兴市	,南湖区	,有限责任公司;	,	,卫生	,李开文	,300万人民币	,2018-07-23	,2018-07-23	,9999-09-09	,嘉兴市南湖区行政审批局	,2018-07-23	,营利性医疗机构筹建（不得从事生产经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,浙江省嘉兴市南湖区勤俭路705号	,	,	,	,	,存续	,3219099110	,
天津美莱口腔门诊有限公司	,91120102MA06UU8335	,	,MA06UU833	,	,天津市	,市辖区	,河东区	,有限责任公司;	,	,卫生	,邱长贵	,300万人民币	,2019-11-08	,2019-11-08	,	,天津市河东区市场和质量监督管理局	,2019-11-08	,门诊部服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,天津市河东区春华街道华昌道94-96号	,	,	,	,	,存续（在营、开业、在册）	,3385991643	,
深圳美莱医疗美容医院	,914403005642422751	,440301105937061	,564242275	,	,广东省	,深圳市	,福田区	,有限责任公司;	,小微企业;	,卫生	,唐兆晖	,500万人民币	,2012-01-04	,2012-01-04	,2032-01-04	,深圳市市场监督管理局	,2019-07-24	,一般经营项目是:按照医疗机构执业许可证（第PDY41061744030417A5292）从事经营活动。，许可经营项目是	,深圳市福田区华强北街道福强社区深南中路2038号爱华大厦2栋1层114号、2、3层、深圳市福田深南中路2044号	,18905045905	;	13534023000	;		,0755-84000999	;	0755-84000995	;	0755-88995888	;		,659075327@qq.com	;	76955644@qq.com	;		,www.mylikesz.com	;	www.mylikesz.com	;	www.mrmylike.com	;	www.mylikesz.cc	;	www.mylikesz.org	;	www.mylikesh.com	;	www.mylikemr.com	;	www.mylikegd.cn	;	www.mylikegd.com.cn	;	www.mylikegd.com	;	www.szmlkq.com	;	www.mylike.com	;	www.mylikesz.cn	;	www.mylikesz.net	;	www.mylikesz.com.cn	;	www.gdmylike.com.cn	;	www.gdmylike.net	;	www.mylikezh.com	;	www.mylikech.com	;	www.szmylike.com.cn	;	www.mylikesz.com	;	www.mylikemr.cn	;	www.mylikemr.net	;	www.mylikekqsz.com	;	www.zhengxingwang.com	;		,存续（在营、开业、在册）	,3072350951	,
厦门美莱医疗美容医院有限公司	,91350200MA2XQ8FE4L	,350200200105479	,MA2XQ8FE4	,	,福建省	,厦门市	,思明区	,有限责任公司;	,	,批发业	,傅宝林	,3000万人民币	,2016-10-25	,2016-10-25	,2066-10-24	,厦门市市场监督管理局	,2019-10-18	,专科医院；其他机械设备及电子产品批发；第二类医疗器械批发；第一类医疗器械批发；第二类医疗器械零售；第一类医疗器械零售。	,厦门市思明区嘉禾路233号1-4层商场	,13459247372	;	15860609329	;		,	,623637655@qq.com	;	824521313@qq.com	;		,www.xmmylike.com	;	www.3671133.cn	;	www.xmmlvip.com	;	www.xmmlzx.com	;	www.xmmylike.cc	;	www.xmmylikezx.com	;	www.520mylike.com	;	www.xmmlkqyy.com	;	www.xmmlkq.com	;	www.xmmylike.com	;	www.xmmylikemr.com	;	www.xmmylike.cn	;	xmmlkqyy.cn	;	hdmylike.com	;	xmmlkq.cn	;		,存续（在营、开业、在册）	,2964414552	,
重庆华美整形美容医院有限公司	,915001036939356923	,500103000076613	,693935692	,	,重庆市	,市辖区	,渝中区	,有限责任公司;	,	,卫生	,林雨	,2000万人民币	,2009-09-09	,2009-09-09	,	,重庆市渝中区市场监督管理局	,2019-08-23	,美容外科、美容皮肤科、美容中医科、麻醉科、医学检验科、医学影像科、美容牙科（按许可证核定范围及期限从事经营），美容店（按许可证核定范围及期限从事经营）；个人形象设计；经营性互联网文化活动、广播电视节目制作（须经审批的经营项目，取得审批后方可从事经营）。『以上范围法律、法规禁止经营的不得经营；法律、法规规定应经审批而未获审批前不得经营』★★	,重庆市渝中区上清寺路9号第一至六层（部分）	,	,023-63855665	;		,cqhm@cqhuamei.com	;	2668518277@qq.com	;	578699960@qq.com	;		,www.cqhuamei.com.cn	;	www.zhifanggl.com	;	www.huameicq.com	;	www.kqmylike.cn	;	www.rococoshow.com	;	www.zhengxingcq.com	;	www.huamei023.com	;	www.cqhmkq.com.cn	;	www.mylikecq.com	;	www.cqhuamei.cn	;	www.023huamei.com	;	www.yxquban.com	;	www.taiwanwzx.com	;	www.cqhmkq.com	;	www.023mylike.com	;	www.cqhuamei.com.cn	;	www.mylikcq.com	;	www.hgwenxiu.com	;	www.96086.org	;	www.cqhmkq.cn	;	www.hmcq.cn	;	www.cqmylike.cn	;	www.cqzhengji.com	;		,存续(在营、开业、在册)	,23563686	,
深圳美莱口腔门诊部	,914403003587638039	,440301114425619	,358763803	,	,广东省	,深圳市	,	,有限责任公司;	,	,卫生	,唐兆晖	,150万人民币	,2015-11-23	,2015-11-23	,	,深圳市市场监督管理局	,2018-06-24	,^口腔诊疗。	,深圳市福田区华强北街道深南中路2050号华南电力大厦2-4楼	,18905045905	;	13534023000	;		,0755-84000995	;		,659075327@qq.com	;		,www.szmlkq.com	;	www.mlyczz.com	;	www.mlyk120.com	;	www.szyczz.com	;	www.szyake120.com	;	www.mlycjz.com	;	www.yczz120.com	;	www.mlycjz.cn	;		,存续（在营、开业、在册）	,3205440888	,
云南华美美莱美容医院有限公司	,915301007785790764	,530100100284669	,778579076	,	,云南省	,昆明市	,五华区	,有限责任公司;	,华美美莱;	,卫生	,刘恒兴	,500万人民币	,2005-09-16	,2006-01-12	,	,五华区市场监督管理局	,2019-04-10	,医疗服务（按医疗机构执业许可证核定的时限和范围开展经营活动）＊＊＊（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,云南省昆明市五华区青年路95号、187号、189号、191号、193号、195号、197号、199号	,13608862810	;	13888306156	;		,0871-66151756	;		,260890558@qq.com	;	710700911@qq.com	;		,www.ynmylike.com	;	www.ynmylike.cn	;	www.ynmylike.net	;	www.ynmylike.cc	;	www.ynmylike.com.cn	;	www.mylikeyn.com	;	www.mylikeyn.cn	;	www.mylikeyn.net	;	www.mylikeyn.cc	;	www.fxmylike.com	;	www.wcmylike.com	;	www.pfmylike.com	;	www.zxmylike.com	;	www.xsmylike.com	;	www.6151888.cn	;	www.yxmylike.com	;	www.ynkouqiang.com	;	www.kqmylike.com	;	www.ynkouqiang.cn	;	www.askmylike.com	;	www.mylikeyn.com.cn	;	www.kmhm.cn	;	www.08716199999.com	;	www.ynmeilai.cn	;	www.qbface.com	;	www.qubancn.com	;	www.ifxiong.com	;	www.zhushemr.cn	;	www.wgzxw.cn	;	www.zxbar.cn	;	www.myliketa.com	;	www.087166199999.com	;	www.08716199999.net	;	www.08716199999.cc	;	www.08716199999.cn	;	www.08716199999.com.cn	;	www.kmmylike.com	;	www.kmmylike.cc	;	www.kmmylike.net	;	www.ynmylike.com	;		,存续（在营、开业、在册）	,22935405	,
北京美莱医疗美容医院有限公司	,911101050536245970	,110105015215282	,053624597	,	,北京市	,市辖区	,朝阳区	,有限责任公司;	,美莱医疗美容医院;	,卫生	,张震山	,30000万人民币	,2012-08-30	,2012-08-30	,2032-08-29	,北京市工商行政管理局朝阳分局	,2019-09-24	,医疗美容科；美容外科；美容牙科；美容皮肤科；美容中医科；麻醉科；医学检验科；医学影像科；X线诊断专业；超声诊断专业；心电诊断专业（医疗机构执业许可证有效期至2020年12月31日）；发布广告。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）	,北京市朝阳区朝外大街227号1幢	,18001391739	;		,010-56935526	;		,13666936693@139.com	;	chenqz@mylike.com	;		,www.bjmylike.com	;	www.mylike120.com	;	www.bjmylike.com	;	www.csmylike.com	;	wapmylike.com	;	zgmylike.com	;	beijingmylike.com.cn	;	www.56935111.cn	;	www.bjyike.com	;	www.mylikebeauty.com	;	www.bjmylikexmt.cn	;	www.mylikemall.com	;	www.mylikefashion.com	;	mylikebj.com	;	mylikebj.net	;	56935111.com	;	bjmeilai.com	;	56935266.com	;	bjmylike.cn	;	56935288.com	;	4008980000.cn	;	mylike.cn	;	mylike120.com	;	mylikebj.cn	;	mylikeme.com	;	bjml.com	;	mylikebj.com.cn	;		,开业	,27910921	,
厦门爱搜网络科技有限公司	,91350206MA2YAT1F45	,350206200665305	,MA2YAT1F4	,	,福建省	,厦门市	,湖里区	,有限责任公司;	,小微企业;	,软件和信息技术服务业	,林兆晞	,100万人民币	,2017-06-12	,2017-06-12	,2067-06-11	,厦门市湖里区市场监督管理局	,2019-08-05	,软件开发；互联网信息服务（不含药品信息服务和网吧）；专科医院；门诊部（所）；医学影像诊断；医学检验科；健康体检中心；病理诊断中心；护理机构服务；信息系统集成服务；信息技术咨询服务；数据处理和存储服务；集成电路设计；数字内容服务；呼叫中心（不含需经许可审批的项目）；动画、漫画设计、制作；其他未列明信息技术服务业（不含需经许可审批的项目）；化妆品及卫生用品批发；其他家庭用品批发；化妆品及卫生用品零售；其他日用品零售；互联网销售；市场管理；市场调查；会议及展览服务；商务信息咨询；企业管理咨询；其他技术推广服务；其他未列明科技推广和应用服务业；计算机、软件及辅助设备批发；计算机、软件及辅助设备零售；第一类医疗器械零售；第二类医疗器械零售；其他互联网服务（不含需经许可审批的项目）；投资咨询（法律、法规另有规定除外）；医疗信息咨询服务（不含药品信息服务、疾病诊疗及其他需经许可审批的项目）；其他未列明的专业咨询服务（不含需经许可审批的项目）；生物技术推广服务；新材料技术推广服务。	,厦门市湖里区仙岳路1939号301室B单元	,15021861586	;	13567492233	;		,	,	,www.xmiseek.com	;	xmiseek.cn	;	xmiseek.net	;		,存续（在营、开业、在册）	,3094211297	,
苏州美莱美容医院有限公司	,9132050877689403XL	,320500000036306	,77689403X	,	,江苏省	,苏州市	,	,有限责任公司;	,	,卫生	,黄金树	,500万人民币	,2005-08-03	,2005-08-03	,2025-08-02	,苏州市姑苏区市场监督管理局苏州国家历史文化名城保护区市场监督管理局	,2018-10-08	,美容外科、美容皮肤科、美容牙科、美容中医科。提供个人形象设计、非医疗性心理咨询、美容信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,苏州市阊胥路388号浩力大厦1-4层及6层	,	,0512-88167776	;	0512-88169999	;		,290412278@qq.com	;	amw-112@163.com	;		,www.szmylike.com	;	www.szmylike.com	;	www.szmylike.com	;	www.szmylike.com/index.html	;	www.mlmryy.com	;	www.meilaixxl.net	;	www.yqmylike.com	;	www.szmylike.com	;	www.szmylikepf.com	;	www.szmylike.net	;	www.mylikexxl.com	;	www.mr60.com	;	meilaiyy.com	;	meilaixxl.com	;	meilaizx.net	;	meilaizx.cn	;	szmylike.cn	;	szmylikekq.com	;	szmylikext.com	;	szmylikemb.com	;	szmylikepf.cn	;	szmylikekq.cn	;	meilaiyy.net	;	mylikexxl.cn	;	szmylikext.cn	;	meilaiyy.cn	;	szmylikezx.cn	;	meilaixxl.cn	;	szmylikeks.com	;	szmylikemb.cn	;	szmylikeks.cn	;	szmylikezx.net	;	szmylikepf.net	;		,存续（在营、开业、在册）	,2350530801	,
厦门登特口腔医院有限公司	,91350200MA2XR7RM9L	,350200200105817	,MA2XR7RM9	,	,福建省	,厦门市	,思明区	,有限责任公司;	,	,卫生	,陈志煌	,2050万人民币	,2016-11-10	,2016-11-10	,2066-11-09	,厦门市市场监督管理局	,2019-03-04	,专科医院。	,厦门市思明区嘉禾路110号阜康大厦商城1-4层	,18859175555	;		,51389933	;		,18859175555@163.com	;		,www.xmdtkq.com	;	www.xmdtkqyy.com	;	www.xmdtkq.cn	;	www.xmdental.net	;	www.dtkqxm.com	;	xmdtkq.net	;		,存续（在营、开业、在册）	,2964641150	,
上海美莱美容有限公司	,91310112350759295P	,310112001551050	,350759295	,	,上海市	,市辖区	,闵行区	,有限责任公司;	,小微企业;	,居民服务业	,赵建华	,50万人民币	,2015-08-26	,2015-08-26	,2035-08-25	,闵行区市场监督管理局	,2015-08-26	,美容店，化妆品销售，电子商务（不得从事增值电信、金融业务）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】	,上海市闵行区合川路3051号21幢907室	,	,021-51552558	;	021-52552558	;		,84495203@qq.com	;		,	,存续（在营、开业、在册）	,1660534645	,
厦门菲悦爱搜商贸有限公司	,91350206MA31WCKC60	,350206200827743	,MA31WCKC6	,	,福建省	,厦门市	,湖里区	,有限责任公司;	,小微企业;	,批发业	,林兆晞	,50万人民币	,2018-07-10	,2018-07-10	,9999-12-31	,厦门市湖里区市场监督管理局	,2019-04-26	,化妆品及卫生用品零售；化妆品及卫生用品批发；其他家庭用品批发；其他日用品零售；互联网销售；其他未列明的专业咨询服务（不含需经许可审批的项目）；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。	,厦门市湖里区仙岳路1939号301室C单元	,15021861586	;		,	,	,	,存续（在营、开业、在册）	,3213681455	,
重庆市万州区华美紫馨整形美容医院有限公司	,91500101559008687D	,500101000043280	,559008687	,	,重庆市	,市辖区	,万州区	,有限责任公司;	,	,卫生	,林卫星	,1000万人民币	,2010-07-13	,2010-07-13	,	,重庆市万州区市场监督管理局	,2019-09-10	,从事经批准的医疗活动；从事电信业务；从事经营性互联网文化；广播电视节目制作。（须经审批的经营项目，取得审批后方可从事经营）	,重庆市万州区北滨大道二段998号一幢29号	,	,61000288	;	023-85795566	;		,1771260291@qq.com	;		,www.wzhuamei.com	;	www.wzhuamei.com	;	wzhuamei.com	;	cq.wzhuamei.com	;	www.wzhuamei.com	;	www.bibipa.cn	;	www.023zhengxingmr.com	;		,存续(在营、开业、在册)	,430298721	,
四川华美紫馨医学美容医院有限公司	,91510100674338649L	,510100000053509	,674338649	,	,四川省	,成都市	,	,有限责任公司;	,华美紫馨;	,卫生	,林国强	,1000万人民币	,2008-06-06	,2008-06-06	,3999-01-01	,成都高新区市场监督管理局	,2019-05-29	,外科；整形外科专业/口腔科/医疗美容科；美容外科；美容牙科；美容皮肤科；美容中医科/麻醉科/医学检验科；临床体液、血液专业；临床化学检验专业/医学影像科；X线诊断专业；超声诊断专业；心电诊断专业（凭医疗机构执业许可证在有效期内经营）；教育信息咨询服务；销售化妆品。（依法须经批准的项目，经相关部门批准后方可展开经营活动）。	,成都高新区二环路南三段25号	,13458568861	;		,028-62988896	;		,895996873@qq.com	;	4690621zjh@163.com	;		,www.hmzixin.com	;	www.hmzixin.com	;	www.cdhuamei.com	;	www.hmzxzb.com	;	schmzx.com	;	schmzxyy.com	;		,存续（在营、开业、在册）	,23557329	,
长沙美莱医疗美容医院有限公司	,91430111090850892Q	,430100000180727	,090850892	,	,湖南省	,长沙市	,雨花区	,有限责任公司;	,	,卫生	,庄剑	,3000万人民币	,2014-01-09	,2014-01-09	,2064-01-08	,长沙市工商行政管理局雨花分局	,2018-06-14	,美容服务；外科；外科整形专科；口腔科；麻醉科；美容专科；医学影像科；医学检验科；美容咨询（不含诊疗）；医院经营管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,湖南省长沙市雨花区芙蓉中路339号	,	,0731-83077712	;	0731-83077777	;		,mylikeb@163.com	;	mylikeyb@163.com	;	453716339@qq.com	;		,www.hnmylike.cn	;	www.hnmylike.cn	;	www.hnmylike.com	;	www.hnmylike.cn	;	www.hnmylike.net	;		,存续（在营、开业、在册）	,370863499	,
福州美莱华美美容医院有限公司	,91350111081624084N	,350111100157655	,081624084	,	,福建省	,福州市	,晋安区	,有限责任公司;	,	,卫生	,吴进	,500万人民币	,2013-11-07	,2013-11-07	,2033-11-06	,福州市晋安区市场监督管理局	,2018-08-29	,美容外科、美容牙科、美容皮肤科、美容中医科、美容治疗室、美容咨询设计室、麻醉科、检验科（医疗机构执业许可证有效期见许可证）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,福建省福州市晋安区塔头路177号	,	,0591-83222501	;	0591-87621444	;	0594-87621444	;		,413849074@qq.com	;		,www.fzhmzx.com	;	www.fzfmzx.com	;	www.fzmylike.cn	;	www.fzhmzx.com	;	www.87585555.com	;	www.22966666.com	;	www.fzmylike.com	;	www.quban5.net	;	www.22966666.cn	;	www.fjmylike.cn	;	www.fzmlhm.com	;		,存续（在营、开业、在册）	,2344019816	,
深圳美莱医疗美容医院有限公司	,914403005642422751	,440301105937061	,564242275	,	,广东省	,深圳市	,福田区	,有限责任公司;	,美莱;	,卫生	,叶志阳	,200万人民币	,2012-01-04	,2012-01-04	,2032-01-04	,深圳市市场监督管理局福田局	,2016-01-20	,按照医疗机构执业许可证（第PDY41061744030417A5292）从事经营活动。^	,深圳市福田区深南中路2044号	,	,0755-88995888	;		,76955644@qq.com	;		,www.mylikesz.com	;		,登记成立	,23536904	,
成都紫馨医学美容医院有限公司	,91510107MA61X1F23N	,510107001154903	,MA61X1F23	,	,四川省	,成都市	,武侯区	,有限责任公司;	,	,卫生	,林国强	,200万人民币	,2016-08-02	,2016-08-02	,3999-01-01	,武侯区市场和质量监督管理局	,2018-06-12	,外科；整形外科专业/医疗美容外科；美容外科；美容牙科；美容皮肤科；美容中医科；麻醉科；医学检验科；临床体液、血液专业；临床化学检验专业；医学影像科；X线诊断专业；超声诊断专业；心电诊断专业。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。	,成都市武侯区二环路南三段7号	,13458568861	;		,028-62988896	;		,895996873@qq.com	;		,	,存续（在营、开业、在册）	,2979658278	,
四川紫馨医学美容医院有限公司	,91510107MA61U1CF4N	,510107001050963	,MA61U1CF4	,	,四川省	,成都市	,武侯区	,有限责任公司;	,	,卫生	,林国强	,200万人民币	,2016-03-29	,2016-03-29	,3999-01-01	,武侯区市场和质量监督管理局	,2017-04-13	,外科；整形外科专业/医疗美容外科；美容外科；美容牙科；美容皮肤科；美容中医科；麻醉科；医学检验科；临床体液、血液专业；临床化学检验专业；医学影像科；X线诊断专业；超声诊断专业；心电诊断专业。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。	,成都市武侯区二环路南三段7号	,	,	,	,	,注销	,2451385587	,
重庆美莱整形美容医院有限公司	,91500105MA5UQR9149	,500105009817532	,MA5UQR914	,	,重庆市	,市辖区	,江北区	,有限责任公司;	,	,卫生	,林雨	,2000万人民币	,2017-08-02	,2017-08-02	,	,重庆市江北区市场监督管理局	,2019-08-21	,医疗美容科；美容外科；美容牙科；皮肤美容科；美容中医科；麻醉科；医学检验科；医学影像科；生活美容（以上经营范围须经审批的经营项目，取得审批后方可从事经营）；商务信息咨询；个人形象设计；从事电信业务；从事经营性互联网文化活动；广播电视节目制作（以上三项须经审批的经营项目，取得审批后方可从事经营）。**【依法须经批准的项目，经相关部门批准后方可开展经营活动】	,重庆市江北区观音桥步行街16号附1号1-6号3-商业	,	,023-61788888	;		,84997790@qq.com	;	linzhidong@cqmylike.com	;		,www.cqmylike.com	;	www.cqmylike.net	;	www.023mylike.cn	;	www.023ml.cn	;	mylikecq.net	;	mylikecq.cn	;	023mylike.net	;	023ml.net	;	cqmlzx.cn	;	cqmlzx.net	;		,存续(在营、开业、在册)	,3075112539	,
贵阳美莱医疗美容医院有限公司	,91520100053316930G	,520100000067359	,053316930	,	,贵州省	,贵阳市	,云岩区	,有限责任公司;	,	,卫生	,张伟	,500万人民币	,2012-09-05	,2012-09-05	,2022-09-04	,贵阳市工商行政管理局	,2018-08-13	,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（许可经营项目：医疗美容科；美容牙科；美容皮肤科；美容中医科；麻醉科；医学检验科；医学影像科；超声诊断专业。※※一般经营项目：（无）。※※※）	,贵州省贵阳市云岩区中山东路中山大厦A座2、3、4层	,13859850553	;		,0851-88289999	;		,81826967@qq.com	;	dangdai@dangdai.cc	;		,www.dangdai.cc	;	www.gyml.cc	;	mylikegy.net	;	mylikegy.cn	;	mylikegy.com	;	zymlzx.com	;	zymlzx.com.cn	;	zymlzx.net	;	gymylike.net	;	zymlzx.cn	;	gymylike.com.cn	;		,存续（在营、开业、在册）	,1684392119	,
广州紫馨美容医院有限公司	,9144010176769129XL	,440104000009690	,76769129X	,	,广东省	,广州市	,越秀区	,有限责任公司;	,	,卫生	,叶志阳	,1000万人民币	,2008-12-16	,2008-12-16	,	,广州市越秀区工商行政管理局	,2017-09-12	,专科医院;	,广州市越秀区广园西路121号美博城B附楼第一至六层	,13533136178	;		,22250939	;		,	,www.6151888.com	;	www.66199999.com	;	www.100hgty.com	;		,注销企业	,2358016005	,
衡阳美莱医疗美容医院有限公司	,91430400MA4L5BQ30G	,430400000132855	,MA4L5BQ30	,	,湖南省	,衡阳市	,蒸湘区	,有限责任公司;	,	,卫生	,陈黎明	,500万人民币	,2016-07-06	,2016-07-06	,2046-07-05	,衡阳市工商行政管理局	,2017-12-18	,提供医疗美容、美容外科、美容牙科、皮肤科、口腔科、中医科、检验科、影像科、药剂科、麻醉科的医疗服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,湖南省衡阳市蒸湘区解放西路13号华辰汇景二期1-5层	,	,0734-8377777	;	0734-8145777	;		,	,www.hymylike.com	;	www.hymylike.com	;	hymylike.net	;	hymylike.cn	;		,存续（在营、开业、在册）	,2401896591	,
贵阳华美整形美容医院有限公司	,91520103MA6DX3761Y	,520103001077703	,MA6DX3761	,	,贵州省	,贵阳市	,云岩区	,有限责任公司;	,	,商务服务业	,李培荣	,500万人民币	,2017-03-23	,2017-03-23	,2037-03-22	,贵阳市云岩区市场监督管理局	,2018-08-08	,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营;法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（口腔科、医疗美容科、麻醉科、医学检验科、医学影像科、X线诊断专业（凭许可证经营）。（以下空白））	,贵州省贵阳市云岩区富水北路66号天恒城市花园天恒大厦南座2层2号	,18985101332	;		,85212503	;		,1152103798@qq.com	;		,www.gyhm.cc	;	baidu.gyhuamei.cn	;	www.gyhmyy.com	;	gyhmzx.cn	;	gyhmzx.cc	;	gyhmyy.cn	;	85212135.cn	;	85212135.com	;		,存续（在营、开业、在册）	,3028179223	,
苏州紫馨美容医院有限公司	,91320508331277354C	,320508000123125	,331277354	,	,江苏省	,苏州市	,	,有限责任公司;	,	,卫生	,陈山	,500万人民币	,2015-04-09	,2015-04-09	,	,苏州市姑苏区市场监督管理局苏州国家历史文化名城保护区市场监督管理局	,2019-01-08	,医疗服务、预防保健科、皮肤科（皮肤病专业）、中西医结合科、中医科（皮肤病专业）、医学检验科（临床体液、血液专业、临床微生物学专业、临床微生物检验专业）、医学影像科（X线诊断专业、B超诊断专业、心电诊断专业）、病理科、麻醉科、医疗美容服务、美容牙科、单位食堂。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,苏州市桐泾北路48号	,15195693686	;	13812932666	;		,0512-67879999	;		,190329664@qq.com	;	930412567@qq.com	;	48189443@qq.com	;	190329662@qq.com	;		,www.suzhouzixin.com	;	www.zixin0512.com	;	www.suzhouzixin.net	;	www.zixinmr.cn	;	www.zixin120.com	;	www.suzhouzixin.cn	;	www.suzhouzixin.com	;	zixin0512.net	;	zi-xin.net	;	zixin512.com	;	zixin8.cn	;	szzixin.cn	;	zixinyy.cn	;	suzixin.com	;	szzxzx.net	;	zixin0512.cn	;	szzixin.net	;	zixinzx.cn	;	suzhouzx.net	;	szzxyy.net	;	zixinsz.cn	;	zisin.cn	;	szzxzx.cn	;	zixinmr.com	;	szmryy.net	;		,存续（在营、开业、在册）	,3077223461	,
常州美莱医疗美容医院有限公司	,91320402MA1NM04U0Q	,320402000262805	,MA1NM04U0	,	,江苏省	,常州市	,天宁区	,有限责任公司;	,	,卫生	,史庆华	,1000万人民币	,2017-03-23	,2017-03-23	,	,常州市天宁区市场监督管理局	,2019-05-08	,医疗美容科（美容外科、美容牙科、美容皮肤科、美容中医科）、麻醉科、医学检验科、医学影像科。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,常州市天宁区吊桥路18号	,	,0519-68200888	;	0519-68199999	;		,446263262@qq.com	;	wuyan_ziyan@163.com	;		,www.czmylike.com	;	company.czmylike.com	;	www.czmeifu.com	;	www.czmylike.com	;	www.czmlclub.com	;	czqbyy.com	;	czmlkq.com	;	cztuomao.com	;	0519mylike.com	;	mylikevip.com	;	0519longbi.com	;	czmlvip.com	;	czsyp.com	;	czmlmr.com	;	czmlyy.com	;	mylikecz.com	;	0519quban.com	;	0519xizhi.com	;		,存续（在营、开业、在册）	,3031456898	,
西安美莱医学美容医院有限公司	,91610104353766167B	,610104100045100	,353766167	,	,陕西省	,西安市	,莲湖区	,有限责任公司;	,小微企业;	,商务服务业	,陈开基	,3000万人民币	,2015-08-13	,2015-08-13	,	,西安市工商行政管理局莲湖分局	,2017-08-10	,医学美容；市场营销策划；企业管理咨询；商务信息咨询；物业服务管理。(依法须经批准的项目，经相关部门批准后方可开展经营活动)	,西安市莲湖区南二环西段60号永安大厦裙楼1-5层	,17792051668	;		,81885555	;		,10125931@qq.com	;		,www.81885555.com	;	www.xamylike.cn	;	www.81885555.cn	;	www.xianmylike.cn	;	www.xianmylike.com	;	www.xamlkq.com	;	www.xamylike.cc	;	www.xamylike.net	;	www.81885555.com	;	www.sxmlkq.com	;	www.xamylike.com	;		,开业	,1405467834	,
