Company name (CN),Company name (EN),Province,Location,Registered capital (RMB),Registeration,Registeration - year,Status,Abnormality,Punishment,Lawsuit,Company website
天津华北医院,Tianjin Huabei Hospital,Tianjin,North,unknown,"2001-12-03	",2001,Living,1,1,0,"www.hb16.com	;	www.huabeiyiyuan.com.cn	;	www.tjhuabei.com	;	www.hb16.cn	;	www.24335522.com	;	tjhuabei120.com	;		"
包头现代医院有限责任公司,"Baotou Modern Hospital Co., Ltd.",Neimenggu,North,2500,"2007-07-05	",2007,Living,0,0,0,"www.btxdyy.com	;	www.btxd120.com	;		"
厦门嘉隆妇产医院有限公司,"Xiamen Jialong Maternity Hospital Co., Ltd.",Fujian,South,2180,"2015-06-25	",2015,Living,1,1,0,"	"
北京苏亚医疗美容医院有限公司,"Beijing Suya Medical Aesthetic Hospital Co., Ltd.",Beijing,North,2000,"2009-11-03	",2009,Living,0,4,6,"www.meilianchen.com	;	www.meilianchen.com	;	www.bjsuya.com	;	bj.meilianchen.com	;	www.bjsuya.com.cn	;	www.meilianchen.com	;	bjsuya.cn	;	bjsuya.com	;	bjsuya.org	;		"
杭州薇琳医疗美容医院有限公司,"Hangzhou Weilin Medical Beauty Hospital Co., Ltd",Zhejiang,East,2000,"2004-02-27	",2004,Living,0,3,4,"www.hzhqyy.com	;	www.hzredream.com	;	hzredream.com.cn	;	hzredream.cn	;		"
北京国际医疗中心有限公司,International Medical Center-Beijing,Beijing,North,571.6662,"1993-04-01	",1993,Living,0,1,0,"www.imcclinics.com	;	www.imcclinics.com	;		"
嘉兴市曙光医疗美容门诊部有限公司,"Jiaxing Shuguang Medical Aesthetic Clinic Co., Ltd.",Zhejiang,East,1500,"2004-06-03	",2004,Living,0,4,3,"www.0573nkw.com	;	www.jxsgzx.net	;	www.sgzxjx.com	;	www.shugzx.com	;	www.sgzx.cc	;	www.sgpfmr.com	;	www.jxsgyy.cn	;	www.jxsgyy.com	;	jxsgman.com	;	jxyysg.com	;	jzsgzxyy.com	;	jxzxsg.net	;	jzsgzxyy.net	;	4001110573.com	;	sgyyzx.com	;	0573sgnk.com	;	sgzxjx.net	;	82535577.net	;	jxyysg.net	;	82535577.com	;	zxyysg.com	;	4001110573.net	;	sgyyzx.net	;	jxzxsg.com	;		"
深圳阳光医院投资有限公司,"Shenzhen Chuntian Investment Development Co.,Ltd.Yangguang Hospital",Guangdong,South,1500,"2004-02-16	",2004,Living,0,0,0,"	"
宁夏西京妇产医院,Ningxia Xijing Maternity Hospital,Ningxia,North-west,300,"2005-01-04	",2005,Living,0,0,0,"http://www.nxwomen.net	;	"
宁波海曙美莱医疗美容专科门诊有限公司,"Ningbo Haishu Mylike Medical Beauty Clinic Co., Ltd",Zhejiang,East,3000,"2007-05-21	",2007,Living,1,7,0,"www.nbmylike.com	;	www.nbmr.net	;	www.nbmylike.com	;	www.057481111111.com	;	ningbomylike.com	;	mylikenb.com	;	nbmeilai.com	;	nbmylikekq.com	;	zszxyy.com	;	mylike.com.cn	;	mylikeck.com	;	nblongbi.com	;	nbmr.net	;	nbmeifu.com	;	nbmylike.net	;	nbyxwx.com	;	nbyachi.com	;	ningbomylike.net	;	nbshuangyanpi.com	;		"
江西省华山不孕不育生殖健康研究院有限公司,"Jiangxi Huashan Infertility and Reproductive Health Research Institute Co., Ltd.",Jiangxi,Center,500,"2016-09-06	",2016,Living,0,4,0,"www.hsbybyszjk.net	;	www.hsbybyszjk.com	;	www.jkzx91.com	;	www.jkzx91.net	;	www.klwlzx.com	;		"
无锡建国中医院有限公司,"Wuxi Jianguo Traditional Chinese Medicine Hospital Co., Ltd.",Jiangsu,East,1500,"2006-09-12	",2006,Living,0,1,3,"www.jgnz.cn	;	www.jgnz.cn	;	www.85046999.com	;	jsbyby.com.cn	;	www.wxjgyy6999.com	;	www.wxzynk.com	;	www.wxzkyy.com	;	www.wxnxyy.com	;	www.jgnkyy.com	;	www.wxnkw.net	;	www.wxnxby.com	;	www.wxbyby.net	;	www.wxjgbyby.com	;	www.jianguoby.com	;	www.jgbyyy.com	;	www.wxbyzk.com	;	www.wxzypfb.com	;	www.jgdoctor.com	;	www.5jjk.com	;	www.0510yy.com	;	www.jgnz120.com	;	www.wxnz120.com	;	www.wx-nkw.com	;	www.yjs120.com	;	www.wxjianguo.com	;	www.wxmnwk.com	;	www.wxszgr.com	;	www.wxszzx.com	;	www.wxxgnza.com	;	www.wxjgzyy.com	;	www.jswxjgyy.com	;	www.wxnkw0510.com	;	www.wxjgnkyy.com	;	www.wxjgnk0510.com	;	www.wxzypfbyy.com	;	www.wxszn.com	;	3g.wxszn.com	;	www.wxjgby.com	;	www.jsszn.com	;	www.wxylb.org	;	www.0510npx.org	;	www.0510npx.net	;	www.0510npx.com	;	www.120wxnk.com	;	www.0510jgnk.com	;	www.wxjgnkw.com	;	www.4000510869.com	;	www.jsbyby.com.cn	;	www.jgnz0510.com	;	www.wxjgnz6888.com	;	www.wxjgman.com	;	www.jgnz.cn	;	www.85046999.com	;	www.man366.com	;	www.jsnkw.com	;	www.jgnzyy.com	;	yxnkw.net	;	0510-85115218.com	;	5jjkw.com	;	wxjgzyy.cn	;	0510jgyy.com	;	wxjg0510.com	;	zypfbyjs.com	;	wxjgnz6888.cn	;	jgnzyy.cn	;	wxjgyy120.com	;	wxjgzyy.com.cn	;	wxjgnz.com	;	wxjgdoctor.com	;	wxjgnk.com	;	wxjgyy.com	;	wxzypfk.com	;	wxnk0510.com	;	zhongyan0510.com	;	wxjgnzyy.com	;	wxjghospital.com	;	wxjgnz.cn	;	85046888.com	;	wxjgnz6999.com	;	yxnk.net	;	wxjgnk120.com	;	zypfyy120.com	;	wxzhongyan.com	;	wxjgnxyy.com	;		"
天津智高医院管理有限公司,"Tianjin Zhigao Hospital Management Co., Ltd.",Tianjin,North,1000,"2007-11-05	",2007,Living,2,0,3,"	"
上海欧莱美医疗美容医院有限公司,"Shanghai Boda Hospital Co.,Ltd.",Shanghai,East,1000,"2004-09-16	",2004,Living,0,15,0,"www.olmmr.com	;	www.sholikeme.com	;		"
深圳仁爱医院,Shenzhen Renai Hospital,Guangdong,South,1000,"2016-01-07	",2016,Living,0,1,8,"www.ra120.cn	;	www.ra120.con	;	www.zgjlqe.com	;	www.05szfk.com	;	www.88300598.com	;	www.91fk.cn	;	www.szwomen.cn	;	www.szfuke.cn	;	www.zfzkyy.com	;	www.ragck120.cn	;	www.ragcyy.net	;	www.51rliu.com	;	www.rarlw.cn	;	www.szrack.com	;	www.rliu.com.cn	;	www.rachanke.com	;	www.01szfk.com	;	www.renaiby.com	;	www.rank120.com	;	www.szcjw.cn	;	www.rliu.cn	;	www.rawgk120.cn	;	www.szrenai120.com	;	www.88308006.com	;	www.ragckyy.cn	;	www.ra120.cn	;	www.zhifahk.com	;	www.szrafuke.com	;	www.sz120gc.cn	;	www.ra120.com	;	www.88300598.net	;	www.05rafk.com	;	www.rabyby.com	;	www.raycyy.com	;	www.03szfk.com	;	www.02szfk.com	;	www.fukesz.com	;	www.01rafk.com	;	www.120zfyy.com	;	www.szra120.com	;	www.ragczk.cn	;	www.szebhyy.com	;	www.ragcyy.com	;	www.raebh.com	;	www.04szfk.com	;	www.szraby.com	;	www.88308139.com	;	www.03rafk.com	;	www.szrayy.com	;	www.04rafk.com	;	www.02rafk.com	;	www.hkzhifa.com	;	www.rananke.cn	;	88308080.com	;	ragck.net	;	83895070.com	;	fkzl91.com	;	88308188.com	;	szbuyunbuyu.com	;	88308188.cn	;	raycyy.net	;		"
广州长泰医院有限公司,"Guangzhou Changtai Hospital Co., Ltd.",Guangdong,South,1000,"2016-05-19	",2016,Living,1,0,2,"www.ctfuchan.com	;	www.800035025.cn	;	www.changtai888.com	;	www.changtaiyiyuan.com	;	www.gzctyy120.com	;	www.gzctnk.com	;	www.gzfuchan.cn	;	www.gdfuchan.cn	;	www.ctfuchan.cn	;	www.ctfuchan.com	;	www.changtai222.com	;	www.changtai999.com	;	www.gzctnk.net	;	www.gzctyy120.net	;	www.gznkyy120.cn	;	www.gzctfuchan.com	;	www.61002222.net	;	www.gzctyy.net	;	www.changtai111.com	;	www.changtai333.com	;	www.changtai123.com	;	www.gzct120.com	;	www.gzct120.cn	;	www.gznkyy120.net	;	www.gzctyy.cn	;	www.changtai120.cn	;	www.changtai114.com	;	www.gzctfuchan.cn	;	www.gzfuchan.com	;		"
深圳福华医疗美容医院,Shenzhen Fuhua Medical Aesthetic Hospital,Guangdong,South,1000,"2012-06-14	",2012,Living,2,1,5,"www.fh16.cn	;	www.fh-meirong.com	;	www.fh16.com	;	www.szfhylmr.com	;	www.0755-88297667.com	;	www.0755-88297899.com	;	www.fh-kouqiang.com	;	www.fh-fuke.com	;	www.fh-nanke.com	;	www.medichisp.name	;	fh-meirong.net	;	075588359035.com	;	075588359035.cn	;	fhpfyy.com	;	szfhmr.com	;	91meili.org.cn	;	91fh160.com	;	nvxingwenda.com	;	fhyunyu.com	;	fhebh.com	;	szfhfk.com	;	nxjk360.cn	;	fh-nanke.net	;	szfhlykq.xyz	;	szfhlykq.cn	;	newhisp.cn	;	075588293145.com	;	075588350936.cn	;	szfhkq.com	;	szfhylmr.net	;	591xingfu.cn	;	591renliu.cn	;	nanxingwenda.com	;	0755-88297899.net	;	nanren947.com	;	szkqmr.com	;	szfhyl.cn	;	szfhkq.net	;	szfhlykq.com	;	szfhkq.mobi	;	fhzhidao.cc	;	fhzhidao.com	;	fhzhidao.org	;	075588350936.com	;	sz16.cn	;	szfhyl.mobi	;	0755-88297667.mobi	;	519meili.cn	;	519meili.com	;	szfhylmr.top	;	fhyyfk.com	;	fhgbyy.com	;	nxjk360.net	;	szfhyl.net	;	fhyiliao.org	;	fhyiliao.cc	;	fhzhidao.asia	;	medichisp.cc	;	newmedic.org	;	fhyiliao.name	;	fhbyby.com	;	szfhylmr.cn	;	fhnkyy.com	;	szfhyy.com	;	szfhlykq.mobi	;	newmedic.name	;	newhisp.net	;	nxjk360.com	;	fhkqyy.com	;	szfhylmr.xyz	;	0755-88297667.net	;	nvxingwenda.cn	;	591mr.cn	;	fh-fuke.net	;	medichisp.org	;	medichisp.com	;	newmedic.net	;	newhisp.name	;	075588293145.cn	;	591renliu.com	;	0755-88297899.mobi	;	91meili.net.cn	;	szfhlykq.net	;	newmedic.cc	;	fh-meirong.mobi	;	gd16.cn	;	fh-fuke.mobi	;	szfhkq.cn	;	fhyiliao.cn	;	fhyiliao.com	;	newmedic.cn	;	newhisp.asia	;	fhyiliao.asia	;	91meili.site	;	szfhylmr.shop	;	szfhnk.com	;	fh-kouqiang.net	;	szfhyy.cn	;	fh16.cn	;	fhylmr.com	;	szfhylmr.mobi	;	fh-nanke.mobi	;	fhzhidao.name	;	fhzhidao.info	;	fhzhidao.cn	;	medichisp.cn	;	newmedic.asia	;	newhisp.org	;	newhisp.com	;		"
成都欧亚医院有限公司,"Chengdu Eurasian Hospital Co., Ltd.",Sichuan,South-west,1000,"2006-08-29	",2006,Living,0,2,2,"www.cdoynkeyy.com	;	www.cdoynank.com	;	www.cdoyank.com	;	www.cdoynke.com	;	www.cdoynkyy.com	;	www.66599999.com	;	www.cdboynkyy.com	;	www.cdaoynkyy.com	;	www.cdaoynkyy.cn	;	www.cdoynk.cn	;	www.cdgoynkyy.com	;	www.cdgoynkyy.cnwww.cdhoynkyy.cnwww.cdboynkyy.cnwww.cdcoynkyy.comwww.cdcoynkyy.cn	;	www.oynk028.com	;	www.cdoynk120.com	;	www.cdoyman.com	;	www.cdoymn.com	;	www.cdoymn120.com	;	www.cdoynk.com	;	www.cdnk120.com	;	www.cnk120.com	;	www.87030666.com	;	www.cded120.com	;	www.cdoyyy.comwww.028qlx.com	;	www.cdbp120.com	;	www.cdoy120.com	;	www.cdxb120.cn	;	cdhoynkyy.cn	;	cdboynkyy.cn	;	cdcoynkyy.cn	;	028qlx.com	;	cdoyyy.com	;	cdcoynkyy.com	;	cdgoynkyy.cn	;		"
北京年轮中医骨科医院,Beijing Nianlun Chinese Medicine Orthopedics Hospital,Beijing,North,500,"2009-09-24	",2009,Living,0,1,15,"www.59101111.com	;	www.59101111.com	;	www.nianlun010.com	;	www.nlkfzx.com	;		"
成都蜀都乳腺医院有限责任公司,"Chengdu Shudu Breast Hospital Co., Ltd.",Sichuan,South-west,1000,"2009-09-21	",2009,Living,0,1,5,"sodo120.com	;	mysodo.com	;	mysodo.com	;	sodozx.com	;	www.mysodo.com	;	www.meiqimr.com	;	www.028shudu.com	;	www.sdganbu.com	;	www.sdsjhsv.com	;	www.2tsd.com	;	www.aedsd.com	;	www.ipmesd.com	;	www.sddhb.com	;	www.sdmmb.com	;	www.sdwszs.com	;	www.sdtrtc.com	;	www.sd12306.com	;	www.dbjcp.com	;	www.efypc.com	;	www.jaomo.com	;	www.biuyi.com	;	www.bpjjx.com	;	www.btfsn.com	;	www.caqlt.com	;	www.ccnzx.com	;	www.aancr.com	;	www.abjcx.com	;	www.agjap.com	;	www.assfu.com	;	www.bfncs.com	;	www.gdftreey.com	;	www.fggtyuuk.com	;	www.sreuuigs.com	;	www.cdsd120.com	;	www.scruxian.com	;	www.cdrxbyy.com	;	www.shudurx.com	;	www.sdrxyy.com	;	www.sodoyy.com	;	www.rxyy028.com	;	www.cdsdrx.com	;	www.rx028.com	;	www.028ruxian.com	;	www.qaezsd.com	;	www.rtgwsd.com	;	www.cdruxian.com	;	www.sodorx.com	;	www.shumeixin.com	;	www.shudu120.com	;	www.sodozx.com	;	www.cdjzx120.com	;	www.cdjkyy.com	;	www.cdjzxyy120.com	;	www.cdrx120.com	;	jsjoe.com	;	bukscj.com	;	028rxyy.com	;	sodo120.com	;	028rfyy.com	;	jstdjc.com	;	pitaxr.com	;		"
长治博爱女子医院,Changzhi Boai Women's Hospital,Shanxi,North,500,"2007-08-28	",2007,Living,2,0,0,"	"
福州市台江东南妇幼医院,Taijiang Southeast Women and Children Hospital,Fujian,South,800,"2006-04-10	",2006,Living,0,0,0,"	"
青岛市北长征医院,Qingdao Changzheng Hospital,Shandong,North,65,"2006-09-04	",2006,Living,0,0,2,"	"
淮北友好妇产医院,Huaibei Youhao Maternity Hospital,Hubei,Center,3000,"2006-09-16	",2006,Living,0,0,0,"http://www.hbyhfcw.cn	"
漯河东方医院,Luohe Dongfang Hospital,Henan,Center,unknown,"	","	",Dead,0,0,0,"www.lhdfnk120.com	;	www.2118008.com	;	www.lhyynf.com	;	www.lhfk120.com	;	www.dffk120.com	;		"
南京江宁众彩门诊部,Nanjing Jiangning Hospital,Jiangsu,East,20,"	","	",Living,0,0,0,"	"
淄博丽人医院,Zibo Liren Hospital,Shandong,North,65,"2012-07-19	",2012,Living,0,0,5,"	"
莆田肛泰中西医结合医院,Putian Anal Thai Integrative Medicine Hospital,Fujian,South,100,"2011-04-27	",2011,Living,0,0,1,"	"
泉州鲤城美莱华美医疗美容有限公司,"Quanzhou Licheng Meilai Huamei Medical Aesthetic Co., Ltd.",Fujian,South,1500,"2013-05-29	",2013,Dead,0,7,4,"www.qzhmzx.com	;	www.qzmylike.com	;		"
昆山阳光医院（普通合伙）,Kunshan Yangguang Hospital,Jiangsu,East,1640,"2007-04-28	",2007,Dead,0,0,0,"	"
贵阳和美妇产医院有限公司,"Guiyang Harmonicare Maternity Hospital Co., Ltd",Guizhou,South-west,1000,"2009-05-25	",2009,Living,0,2,4,"www.gyhemei.com	;	www.8332999.com	;	www.gyhm120.vip	;	www.gyhmfc.com	;	www.gy120.vip	;	gyhmc.com	;	gyhemei.com	;		"
广州市番禺区南粤医院（有限合伙）,Nanyue Hospital,Guangdong,South,unknown,"2010-06-22	",2010,Living,0,2,0,"www.gznyyy.cn	;	www.gdbybyyy.com	;	www.gzpyyy120.com	;	www.120nanyue.com	;	www.panyuyiyuan.com	;	www.gznybaby.com	;	www.120pyyy.com	;	www.gzpyzy.com	;	www.pyny120.com	;	www.pyyyfk.com	;	www.gznynk.com	;	www.11xun.com	;	www.gznyfk.com	;	www.pynkyy120.com	;	www.120pyny.com	;	www.120pynk.com	;	www.010sa.com	;	www.pynyyy.com	;	www.gznynkyy.com	;	www.pyyynk.com	;	www.gznybyby.com	;	www.gznyfck.com	;	www.84888555.com	;	www.pyhospital.com	;	www.gznymnk.com	;	www.84888565.cn	;	pynyyy.cn	;	pyfyyy.cn	;	gzpyyy120.cn	;	120nanyue.cn	;	pyfyyy.com	;	120pyyy.net	;	120nanyue.net	;	guangzhouyiyuan.cn	;	pyfyyy.net	;	gznyfk.cn	;	pynkyy120.net	;	120pyny.cn	;	120pynk.net	;	gznybaby.cn	;	120pyyy.cn	;	gznynkyy.cn	;	gznyfkyy.com	;	pyyynk.cn	;	gznynk.cn	;	gznybyby.cn	;	panyuyiyuan.cn	;	gdbybyyy.net	;	gzpyyy120.net	;	guangzhouyiyuan.net	;	84888555.cn	;	84888555.org	;	120pynk.cn	;	gdbybyyy.cn	;	gznynkyy.net	;	gznyfkyy.cn	;	gznyfkyy.net	;	panyuyiyuan.net	;	gznymnk.cn	;	guangzhouyiyuan.com	;	pyny120.cn	;	pyyyfk.cn	;	84888555.com.cn	;	gznyfck.cn	;	pynkyy120.cn	;	120pyny.net	;		"
大连长城医院有限公司,"Dalian Great Wall Hospital Co., Ltd.",Liaoning,North-east,501,"2017-09-29	",2017,Living,1,0,0,"	"
嘉兴市博爱门诊部有限公司,"Jiaxing Boai Clinic Co., Ltd.",Zhejiang,East,100,"2006-10-10	",2006,Living,0,1,0,"www.jxyy91.cn	;	www.jxbayy.cn	;	www.82056999.org.cn	;	www.82056999.cn	;	www.jxyy91.com	;	www.82056999.com.cn	;	www.82056999.net	;	www.82056999.top	;	www.82056999.com	;		"
北京玛丽妇儿医院,Beijing Mary Women and Children Hospital,Beijing,North,500,"2006-06-30	",2006,Living,0,4,5,"www.mary.net.cn	;	www.maryhospital.net	;	www.maryhospital.net	;	www.bjmaryrl.com	;	www.bjmljs.com	;	www.mary.net.cn	;	www.cnmaryyy.com	;	www.bjmlfk.com	;	www.bjmlck.com	;	www.maryfk.net	;	www.marychina.net	;	www.maryhospital.net	;	www.mlyyek.com	;	bjmaryjs.com	;	cnmaryck.com	;	bjmlek.com	;	cnmaryfk.com	;	bjmaryck.com	;	cnmaryek.com	;	maryck.net	;	bjmaryek.com	;	mlyyjs.com	;	marychinafk.com	;	maryhospital.cn	;	marychinack.com	;	maryjs.net	;	maryfc.net	;	bjmlyy.com	;	maryerke.com	;	maryek.net	;	mlyyck.com	;	marychinaek.com	;	bjmaryyy.com	;	mlyycfc.com	;	010mary.com	;	bjmaryfk.com	;	cnmaryjs.com	;	marychinajs.com	;		"
深圳市韩美皮肤医疗美容门诊部有限公司,"Shenzhen Hanmei Skin Medical Beauty Clinic Co., Ltd.",Guangdong,South,500,"2016-01-21	",2016,Dead,0,0,0,"	"
深圳罗岗医院,Shenzhen Luogang Hospital,Guangdong,South,500,"2014-05-26	",2014,Living,1,5,8,"www.lgyy.cn	;	www.lgyy.cn	;	www.lgyy.cn	;		"
北京北海医院有限责任公司,"Beijing Beihai Hospital Co., Ltd.",Beijing,North,500,"2004-09-24	",2004,Living,0,1,5,"www.bho1.com	;	www.bh01.com	;	www.bh01.com	;		"
长春长庚眼耳鼻喉医院有限公司,"Changchun Changgeng Eye, Ear, Nose and Throat Hospital Co., Ltd.",Jilin,North-east,500,"2017-01-10	",2017,Living,0,0,2,"www.cccg666.com	;	www.cccg888.com	;	www.cccg8888.com	;	www.ear0431.com	;	www.cgyebhyy120.com	;	www.changgeng120.com	;	www.cgebh000.com	;	cgyebh120.com	;	0431ebhyy.com	;	0431ear.com	;	cccgyy0431.com	;	cccg777.com	;	120ebhyy.com	;	cccgyy120.com	;	cgyy666.com	;		"
武汉华夏医院,Wuhan Huaxia Hospital,Hubei,Center,unknown,"2004-04-29	",2004,Living,0,4,5,"www.whhxyy.com	;	www.87275566.com	;	www.whhxyy.com	;	www.027whhxnk.com	;	www.hbnkyyhx.com	;	www.whfkhx.com	;	www.whhxnz.com	;	www.027hxyy.com	;	www.hbhxnk.com	;	www.whhxnkw.com	;	www.whnkhx.com	;	www.wchxnk.com	;	www.hxwhnk.com	;	www.027bodayy.com	;	www.hxnkgw.com	;	87275566.com	;	whhxdoctor.com	;	nkhxyy.com	;	whfkhxyy.com	;	hbhxfkyy.com	;	whhxnzyy.com	;	027hxnkyy.com	;	hbhxnkyy.com	;	027whzynk.com	;	87275666.com	;	whzynkyy.com	;	027whnkw.com	;	whnkyyhx.com	;	nkyyhx.com	;	whhxhospital.com	;	whhxman.com	;	027whhxyy.com	;	027hxnz.com	;	hbnkhx.com	;	hxnzyy.com	;	whhxnxyy.com	;	hbhxfk.com	;	hxnknk.com	;	hxyywhnk.com	;	hxnkw.com	;	whnznk.com	;	whnknk.com	;	wchxyy.com	;		"
乌鲁木齐爱德华医院（有限公司）,Urumqi Edward Hospital,Xinjiang,North-west,500,"2006-02-06	",2006,Living,0,2,1,"www.tyjsk.net	;	www.wsfk0991.com	;	www.adhnk24h.com	;	www.adhsn.com	;	www.adhyiyuan.com	;	tyekyy.net	;	028etyy.com	;	adfnk123.com	;	wsnk0991.com	;	nkadh123.com	;	adhsn.cn	;	sxekyy.net	;	adhnk999.com	;	wsfuke120.com	;	adhfukeyy.com	;	fkadh120.com	;	wsnk999.com	;	027etyy.com	;	nkadhyy.com	;	adhpf.com	;	tyekyy.com	;	026etyy.com	;	wsadhfk.com	;	nankeadh.com	;	wsnk123.com	;	adhfk123.com	;	wsaidyy.com	;	wsaidhyy.com	;	fkadh.com	;	wsadehyy.com	;	4000398112.com	;	wsnanke120.com	;	wsfk999.com	;	wsfk123.com	;	nankadhyy.com	;	adhfk24h.com	;	wsadhfuke.com	;	fukeadh.com	;	adhnk365.com	;	adhzyk.com	;	adhzyk.cn	;		"
云南九洲医院有限公司,"Yunnan Jiuzhou Qinniao Reproduction Special Hospital Co.,Ltd.",Yunnan,South-west,3000,"2003-09-24	",2003,Living,0,3,19,"www.6066888.com	;	www.6066888.cm	;	www.kmshiguan.com	;	www.6066888.cn	;	www.ynxxyy.com	;	www.renliuyy.cn	;	www.6066888.com	;	www.6066888.com.cn	;	www.ynnzyy.com	;	www.ivfms.com	;	www.ynpfyy.com	;	www.ynivf.com	;	www.kmxingbing.cn	;	www.ynxingbing.cn	;	www.ynxingbing.top	;	www.ynbaopi.cn	;	www.ynivf.cn	;	www.ynrenliu.com	;	kmjznk.com	;	ynmnyy.com	;	ynfuke120.com	;	kmjzfk.com	;	jzyybb.com	;	ynbyby.com	;	ynpfkyy.com	;	jzyy120.com	;	kmjzbb.com	;	ynjzbaby.com	;	jzsgye.com	;	ynjzbb.com	;	4006645550.com	;	ynnxyy.com	;	chinashiguan.com	;	ynbyby.org	;	jzyynk.com	;	ynfukeyy.cn	;	ynfukeyy.com	;	ynjsyy.com	;	kmnxjk.com	;	ynrenliu120.com	;	ynjznk.com	;	ynnkzx.com	;	ynsgye.com	;	ynjzyy.cn	;	qm91.com	;	ynfuke120.cn	;		"
